"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 23 01:17:02 GMT 2024","Tue Jan 23 01:17:07 GMT 2024","4436","","","","","","Validate Council Output [WaverleyBoroughCouncil-None-None]",""
"failed","Tue Jan 23 01:16:37 GMT 2024","Tue Jan 23 01:16:37 GMT 2024","219","","","","","","Validate Council Output [RushcliffeBoroughCouncil-http://selenium:4444-local]",""
"failed","Tue Jan 23 01:16:51 GMT 2024","Tue Jan 23 01:16:51 GMT 2024","223","","","","","","Validate Council Output [StaffordshireMoorlandsDistrictCouncil-http://selenium:4444-local]",""
"passed","Tue Jan 23 01:16:16 GMT 2024","Tue Jan 23 01:16:19 GMT 2024","3156","","","","","","Validate Council Output [ManchesterCityCouncil-None-None]",""
"passed","Tue Jan 23 01:16:26 GMT 2024","Tue Jan 23 01:16:28 GMT 2024","2596","","","","","","Validate Council Output [GlasgowCityCouncil-None-None]",""
"passed","Tue Jan 23 01:16:53 GMT 2024","Tue Jan 23 01:16:55 GMT 2024","2063","","","","","","Validate Council Output [StratfordUponAvonCouncil-None-None]",""
"failed","Tue Jan 23 01:17:09 GMT 2024","Tue Jan 23 01:17:09 GMT 2024","3","","","","","","Validate Council Output [WestSuffolkCouncil-http://selenium:4444-local]",""
"passed","Tue Jan 23 01:16:38 GMT 2024","Tue Jan 23 01:16:40 GMT 2024","2511","","","","","","Validate Council Output [SheffieldCityCouncil-None-None]",""
"failed","Tue Jan 23 01:16:37 GMT 2024","Tue Jan 23 01:16:38 GMT 2024","725","","","","","","Validate Council Output [NorthWestLeicestershire-http://selenium:4444-local]",""
"failed","Tue Jan 23 01:16:28 GMT 2024","Tue Jan 23 01:16:28 GMT 2024","2","","","","","","Validate Council Output [GuildfordCouncil-http://selenium:4444-local]",""
"passed","Tue Jan 23 01:16:07 GMT 2024","Tue Jan 23 01:16:08 GMT 2024","1460","","","","","","Validate Council Output [EastCambridgeshireCouncil-None-None]",""
"passed","Tue Jan 23 01:15:52 GMT 2024","Tue Jan 23 01:15:54 GMT 2024","1334","","","","","","Validate Council Output [CannockChaseDistrictCouncil-None-None]",""
"passed","Tue Jan 23 01:16:02 GMT 2024","Tue Jan 23 01:16:05 GMT 2024","2597","","","","","","Validate Council Output [HaringeyCouncil-None-None]",""
"passed","Tue Jan 23 01:16:45 GMT 2024","Tue Jan 23 01:16:51 GMT 2024","6227","","","","","","Validate Council Output [SomersetCouncil-None-None]",""
"passed","Tue Jan 23 01:16:07 GMT 2024","Tue Jan 23 01:16:08 GMT 2024","982","","","","","","Validate Council Output [EastDevonDC-None-None]",""
"passed","Tue Jan 23 01:16:31 GMT 2024","Tue Jan 23 01:16:34 GMT 2024","2647","","","","","","Validate Council Output [NottinghamCityCouncil-None-None]",""
"failed","Tue Jan 23 01:15:59 GMT 2024","Tue Jan 23 01:16:04 GMT 2024","5297","","","","","","Validate Council Output [BromleyBoroughCouncil-http://selenium:4444-local]",""
"passed","Tue Jan 23 01:15:52 GMT 2024","Tue Jan 23 01:15:53 GMT 2024","993","","","","","","Validate Council Output [AylesburyValeCouncil-None-None]",""
"passed","Tue Jan 23 01:16:02 GMT 2024","Tue Jan 23 01:16:04 GMT 2024","1819","","","","","","Validate Council Output [CheshireEastCouncil-None-None]",""
"failed","Tue Jan 23 01:16:04 GMT 2024","Tue Jan 23 01:16:04 GMT 2024","225","","","","","","Validate Council Output [BroxtoweBoroughCouncil-http://selenium:4444-local]",""
"failed","Tue Jan 23 01:16:55 GMT 2024","Tue Jan 23 01:16:56 GMT 2024","1165","","","","","","Validate Council Output [SwaleBoroughCouncil-None-None]",""
"passed","Tue Jan 23 01:17:15 GMT 2024","Tue Jan 23 01:17:17 GMT 2024","1478","","","","","","Validate Council Output [WestLindseyDistrictCouncil-None-None]",""
"failed","Tue Jan 23 01:15:52 GMT 2024","Tue Jan 23 01:15:52 GMT 2024","117","","","","","","Validate Council Output [BlackburnCouncil-http://selenium:4444-local]",""
"failed","Tue Jan 23 01:15:52 GMT 2024","Tue Jan 23 01:15:52 GMT 2024","375","","","","","","Validate Council Output [CalderdaleCouncil-http://selenium:4444-local]",""
"passed","Tue Jan 23 01:16:05 GMT 2024","Tue Jan 23 01:16:07 GMT 2024","2471","","","","","","Validate Council Output [BuryCouncil-None-None]",""
"failed","Tue Jan 23 01:16:01 GMT 2024","Tue Jan 23 01:16:02 GMT 2024","1197","","","","","","Validate Council Output [ChelmsfordCityCouncil-http://selenium:4444-local]",""
"failed","Tue Jan 23 01:15:58 GMT 2024","Tue Jan 23 01:16:00 GMT 2024","1708","","","","","","Validate Council Output [CroydonCouncil-None-None]",""
"passed","Tue Jan 23 01:17:25 GMT 2024","Tue Jan 23 01:17:28 GMT 2024","3312","","","","","","Validate Council Output [WindsorAndMaidenheadCouncil-None-None]",""
"failed","Tue Jan 23 01:15:52 GMT 2024","Tue Jan 23 01:15:52 GMT 2024","3","","","","","","Validate Council Output [BrightonandHoveCityCouncil-http://selenium:4444-local]",""
