"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Feb 02 01:08:36 GMT 2024","Fri Feb 02 01:08:37 GMT 2024","641","","","","","","Validate Council Output [MidSussexDistrictCouncil-None-None]",""
"failed","Fri Feb 02 01:09:02 GMT 2024","Fri Feb 02 01:09:02 GMT 2024","54","","","","","","Validate Council Output [PrestonCityCouncil-http://selenium:4444-local]",""
"passed","Fri Feb 02 01:08:44 GMT 2024","Fri Feb 02 01:08:45 GMT 2024","1111","","","","","","Validate Council Output [MaldonDistrictCouncil-None-None]",""
"passed","Fri Feb 02 01:08:30 GMT 2024","Fri Feb 02 01:08:31 GMT 2024","1466","","","","","","Validate Council Output [DoncasterCouncil-None-None]",""
"failed","Fri Feb 02 01:09:03 GMT 2024","Fri Feb 02 01:09:03 GMT 2024","3","","","","","","Validate Council Output [GuildfordCouncil-http://selenium:4444-local]",""
"failed","Fri Feb 02 01:09:17 GMT 2024","Fri Feb 02 01:09:18 GMT 2024","1029","","","","","","Validate Council Output [ValeofGlamorganCouncil-None-None]",""
"passed","Fri Feb 02 01:08:29 GMT 2024","Fri Feb 02 01:08:30 GMT 2024","1459","","","","","","Validate Council Output [BuryCouncil-None-None]",""
"failed","Fri Feb 02 01:08:29 GMT 2024","Fri Feb 02 01:08:29 GMT 2024","83","","","","","","Validate Council Output [DerbyshireDalesDistrictCouncil-http://selenium:4444-local]",""
"passed","Fri Feb 02 01:08:59 GMT 2024","Fri Feb 02 01:08:59 GMT 2024","456","","","","","","Validate Council Output [ReadingBoroughCouncil-None-None]",""
"failed","Fri Feb 02 01:08:59 GMT 2024","Fri Feb 02 01:08:59 GMT 2024","62","","","","","","Validate Council Output [NorthumberlandCouncil-http://selenium:4444-local]",""
"failed","Fri Feb 02 01:09:23 GMT 2024","Fri Feb 02 01:09:23 GMT 2024","137","","","","","","Validate Council Output [WestLothianCouncil-http://selenium:4444-local]",""
"failed","Fri Feb 02 01:09:22 GMT 2024","Fri Feb 02 01:09:22 GMT 2024","3","","","","","","Validate Council Output [WakefieldCityCouncil-http://selenium:4444-local]",""
"passed","Fri Feb 02 01:09:23 GMT 2024","Fri Feb 02 01:09:27 GMT 2024","3507","","","","","","Validate Council Output [WiganBoroughCouncil-None-None]",""
"failed","Fri Feb 02 01:08:32 GMT 2024","Fri Feb 02 01:08:32 GMT 2024","2","","","","","","Validate Council Output [EastRidingCouncil-http://selenium:4444-local]",""
"passed","Fri Feb 02 01:09:03 GMT 2024","Fri Feb 02 01:09:04 GMT 2024","733","","","","","","Validate Council Output [SouthLanarkshireCouncil-None-None]",""
"failed","Fri Feb 02 01:08:21 GMT 2024","Fri Feb 02 01:08:22 GMT 2024","322","","","","","","Validate Council Output [CalderdaleCouncil-http://selenium:4444-local]",""
"passed","Fri Feb 02 01:09:02 GMT 2024","Fri Feb 02 01:09:09 GMT 2024","7277","","","","","","Validate Council Output [SomersetCouncil-None-None]",""
"failed","Fri Feb 02 01:08:24 GMT 2024","Fri Feb 02 01:08:24 GMT 2024","53","","","","","","Validate Council Output [BarnetCouncil-http://selenium:4444-local]",""
"passed","Fri Feb 02 01:09:11 GMT 2024","Fri Feb 02 01:09:16 GMT 2024","4774","","","","","","Validate Council Output [StockportBoroughCouncil-None-None]",""
"passed","Fri Feb 02 01:08:30 GMT 2024","Fri Feb 02 01:08:31 GMT 2024","616","","","","","","Validate Council Output [EastDevonDC-None-None]",""
"passed","Fri Feb 02 01:08:31 GMT 2024","Fri Feb 02 01:08:32 GMT 2024","837","","","","","","Validate Council Output [DorsetCouncil-None-None]",""
"passed","Fri Feb 02 01:09:22 GMT 2024","Fri Feb 02 01:09:23 GMT 2024","895","","","","","","Validate Council Output [WestLindseyDistrictCouncil-None-None]",""
"failed","Fri Feb 02 01:08:46 GMT 2024","Fri Feb 02 01:08:46 GMT 2024","2","","","","","","Validate Council Output [NorthEastLincs-None-None]",""
"passed","Fri Feb 02 01:08:23 GMT 2024","Fri Feb 02 01:08:28 GMT 2024","4934","","","","","","Validate Council Output [CardiffCouncil-None-None]",""
"failed","Fri Feb 02 01:08:59 GMT 2024","Fri Feb 02 01:08:59 GMT 2024","50","","","","","","Validate Council Output [GatesheadCouncil-http://selenium:4444-local]",""
"passed","Fri Feb 02 01:08:59 GMT 2024","Fri Feb 02 01:09:03 GMT 2024","3314","","","","","","Validate Council Output [NewportCityCouncil-None-None]",""
"passed","Fri Feb 02 01:09:01 GMT 2024","Fri Feb 02 01:09:03 GMT 2024","2215","","","","","","Validate Council Output [GlasgowCityCouncil-None-None]",""
"passed","Fri Feb 02 01:09:18 GMT 2024","Fri Feb 02 01:09:25 GMT 2024","6897","","","","","","Validate Council Output [WaverleyBoroughCouncil-None-None]",""
"failed","Fri Feb 02 01:09:10 GMT 2024","Fri Feb 02 01:09:10 GMT 2024","585","","","","","","Validate Council Output [SouthTynesideCouncil-None-None]",""
"passed","Fri Feb 02 01:08:21 GMT 2024","Fri Feb 02 01:08:22 GMT 2024","890","","","","","","Validate Council Output [ConwyCountyBorough-None-None]",""
"passed","Fri Feb 02 01:08:29 GMT 2024","Fri Feb 02 01:08:32 GMT 2024","3027","","","","","","Validate Council Output [BedfordshireCouncil-None-None]",""
"failed","Fri Feb 02 01:08:59 GMT 2024","Fri Feb 02 01:08:59 GMT 2024","2","","","","","","Validate Council Output [ReigateAndBansteadBoroughCouncil-http://selenium:4444-local]",""
"passed","Fri Feb 02 01:09:12 GMT 2024","Fri Feb 02 01:09:13 GMT 2024","539","","","","","","Validate Council Output [RushmoorCouncil-None-None]",""
"failed","Fri Feb 02 01:08:38 GMT 2024","Fri Feb 02 01:08:39 GMT 2024","719","","","","","","Validate Council Output [KingstonUponThamesCouncil-None-None]",""
"passed","Fri Feb 02 01:08:53 GMT 2024","Fri Feb 02 01:08:59 GMT 2024","5498","","","","","","Validate Council Output [NorthTynesideCouncil-None-None]",""
"passed","Fri Feb 02 01:08:39 GMT 2024","Fri Feb 02 01:08:44 GMT 2024","5472","","","","","","Validate Council Output [LancasterCityCouncil-None-None]",""
"passed","Fri Feb 02 01:08:24 GMT 2024","Fri Feb 02 01:08:29 GMT 2024","5069","","","","","","Validate Council Output [CroydonCouncil-None-None]",""
"failed","Fri Feb 02 01:08:30 GMT 2024","Fri Feb 02 01:08:30 GMT 2024","285","","","","","","Validate Council Output [CheshireEastCouncil-None-None]",""
"passed","Fri Feb 02 01:08:33 GMT 2024","Fri Feb 02 01:08:34 GMT 2024","1451","","","","","","Validate Council Output [EnvironmentFirst-None-None]",""
"passed","Fri Feb 02 01:08:24 GMT 2024","Fri Feb 02 01:08:26 GMT 2024","2390","","","","","","Validate Council Output [BarnsleyMBCouncil-None-None]",""
"passed","Fri Feb 02 01:08:59 GMT 2024","Fri Feb 02 01:09:02 GMT 2024","3106","","","","","","Validate Council Output [OldhamCouncil-None-None]",""
"passed","Fri Feb 02 01:09:14 GMT 2024","Fri Feb 02 01:09:17 GMT 2024","2668","","","","","","Validate Council Output [TorbayCouncil-None-None]",""
"failed","Fri Feb 02 01:08:37 GMT 2024","Fri Feb 02 01:08:37 GMT 2024","60","","","","","","Validate Council Output [NeathPortTalbotCouncil-http://selenium:4444-local]",""
"failed","Fri Feb 02 01:09:23 GMT 2024","Fri Feb 02 01:09:23 GMT 2024","3","","","","","","Validate Council Output [WestSuffolkCouncil-http://selenium:4444-local]",""
"passed","Fri Feb 02 01:08:34 GMT 2024","Fri Feb 02 01:08:37 GMT 2024","2818","","","","","","Validate Council Output [ErewashBoroughCouncil-None-None]",""
"passed","Fri Feb 02 01:09:03 GMT 2024","Fri Feb 02 01:09:05 GMT 2024","2534","","","","","","Validate Council Output [SheffieldCityCouncil-None-None]",""
"passed","Fri Feb 02 01:09:37 GMT 2024","Fri Feb 02 01:09:37 GMT 2024","481","","","","","","Validate Council Output [YorkCouncil-None-None]",""
"passed","Fri Feb 02 01:08:28 GMT 2024","Fri Feb 02 01:08:28 GMT 2024","646","","","","","","Validate Council Output [BathAndNorthEastSomersetCouncil-None-None]",""
"passed","Fri Feb 02 01:08:26 GMT 2024","Fri Feb 02 01:08:28 GMT 2024","1418","","","","","","Validate Council Output [BasingstokeCouncil-None-None]",""
"failed","Fri Feb 02 01:08:32 GMT 2024","Fri Feb 02 01:08:32 GMT 2024","2","","","","","","Validate Council Output [BexleyCouncil-http://selenium:4444-local]",""
"passed","Fri Feb 02 01:08:57 GMT 2024","Fri Feb 02 01:08:59 GMT 2024","2740","","","","","","Validate Council Output [FenlandDistrictCouncil-None-None]",""
"passed","Fri Feb 02 01:09:14 GMT 2024","Fri Feb 02 01:09:24 GMT 2024","9308","","","","","","Validate Council Output [TestValleyBoroughCouncil-None-None]",""
"failed","Fri Feb 02 01:09:10 GMT 2024","Fri Feb 02 01:09:11 GMT 2024","754","","","","","","Validate Council Output [StHelensBC-None-None]",""
"failed","Fri Feb 02 01:08:22 GMT 2024","Fri Feb 02 01:08:22 GMT 2024","217","","","","","","Validate Council Output [BoltonCouncil-http://selenium:4444-local]",""
"passed","Fri Feb 02 01:09:07 GMT 2024","Fri Feb 02 01:09:10 GMT 2024","2990","","","","","","Validate Council Output [SouthOxfordshireCouncil-None-None]",""
"passed","Fri Feb 02 01:08:22 GMT 2024","Fri Feb 02 01:08:23 GMT 2024","919","","","","","","Validate Council Output [CannockChaseDistrictCouncil-None-None]",""
"failed","Fri Feb 02 01:09:11 GMT 2024","Fri Feb 02 01:09:11 GMT 2024","53","","","","","","Validate Council Output [StaffordshireMoorlandsDistrictCouncil-http://selenium:4444-local]",""
"failed","Fri Feb 02 01:08:44 GMT 2024","Fri Feb 02 01:08:44 GMT 2024","50","","","","","","Validate Council Output [LeedsCityCouncil-http://selenium:4444-local]",""
"passed","Fri Feb 02 01:08:45 GMT 2024","Fri Feb 02 01:08:46 GMT 2024","907","","","","","","Validate Council Output [MalvernHillsDC-None-None]",""
"passed","Fri Feb 02 01:09:10 GMT 2024","Fri Feb 02 01:09:12 GMT 2024","1540","","","","","","Validate Council Output [SouthCambridgeshireCouncil-None-None]",""
"passed","Fri Feb 02 01:08:46 GMT 2024","Fri Feb 02 01:08:51 GMT 2024","4483","","","","","","Validate Council Output [NorthKestevenDistrictCouncil-None-None]",""
"failed","Fri Feb 02 01:08:32 GMT 2024","Fri Feb 02 01:08:33 GMT 2024","136","","","","","","Validate Council Output [EastSuffolkCouncil-http://selenium:4444-local]",""
"failed","Fri Feb 02 01:08:37 GMT 2024","Fri Feb 02 01:08:38 GMT 2024","994","","","","","","Validate Council Output [HuntingdonDistrictCouncil-None-None]",""
"passed","Fri Feb 02 01:08:35 GMT 2024","Fri Feb 02 01:08:36 GMT 2024","1266","","","","","","Validate Council Output [EastCambridgeshireCouncil-None-None]",""
"failed","Fri Feb 02 01:08:51 GMT 2024","Fri Feb 02 01:08:51 GMT 2024","49","","","","","","Validate Council Output [NorthNorfolkDistrictCouncil-http://selenium:4444-local]",""
"passed","Fri Feb 02 01:08:38 GMT 2024","Fri Feb 02 01:08:59 GMT 2024","21181","","","","","","Validate Council Output [NewcastleCityCouncil-None-None]",""
"passed","Fri Feb 02 01:09:13 GMT 2024","Fri Feb 02 01:09:15 GMT 2024","2312","","","","","","Validate Council Output [TonbridgeAndMallingBC-None-None]",""
"passed","Fri Feb 02 01:08:51 GMT 2024","Fri Feb 02 01:08:52 GMT 2024","1199","","","","","","Validate Council Output [NorthNorthamptonshireCouncil-None-None]",""
"passed","Fri Feb 02 01:08:31 GMT 2024","Fri Feb 02 01:08:57 GMT 2024","26094","","","","","","Validate Council Output [ChorleyCouncil-http://selenium:4444-local]",""
"failed","Fri Feb 02 01:08:37 GMT 2024","Fri Feb 02 01:08:42 GMT 2024","4782","","","","","","Validate Council Output [LondonBoroughHounslow-None-None]",""
"passed","Fri Feb 02 01:08:45 GMT 2024","Fri Feb 02 01:08:46 GMT 2024","1071","","","","","","Validate Council Output [LiverpoolCityCouncil-None-None]",""
"failed","Fri Feb 02 01:08:37 GMT 2024","Fri Feb 02 01:08:37 GMT 2024","2","","","","","","Validate Council Output [MiltonKeynesCityCouncil-None-None]",""
"failed","Fri Feb 02 01:08:28 GMT 2024","Fri Feb 02 01:08:28 GMT 2024","2","","","","","","Validate Council Output [CastlepointDistrictCouncil-http://selenium:4444-local]",""
"failed","Fri Feb 02 01:08:28 GMT 2024","Fri Feb 02 01:08:29 GMT 2024","878","","","","","","Validate Council Output [BromleyBoroughCouncil-http://selenium:4444-local]",""
"failed","Fri Feb 02 01:08:22 GMT 2024","Fri Feb 02 01:08:22 GMT 2024","2","","","","","","Validate Council Output [BrightonandHoveCityCouncil-http://selenium:4444-local]",""
"passed","Fri Feb 02 01:09:05 GMT 2024","Fri Feb 02 01:09:10 GMT 2024","4444","","","","","","Validate Council Output [ShropshireCouncil-None-None]",""
"failed","Fri Feb 02 01:08:29 GMT 2024","Fri Feb 02 01:08:29 GMT 2024","2","","","","","","Validate Council Output [BuckinghamshireCouncil-http://selenium:4444-local]",""
"passed","Fri Feb 02 01:08:34 GMT 2024","Fri Feb 02 01:08:37 GMT 2024","2493","","","","","","Validate Council Output [HarrogateBoroughCouncil-None-None]",""
"failed","Fri Feb 02 01:08:32 GMT 2024","Fri Feb 02 01:08:32 GMT 2024","46","","","","","","Validate Council Output [EastLindseyDistrictCouncil-http://selenium:4444-local]",""
