"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 21 01:19:35 GMT 2024","Sun Jan 21 01:19:37 GMT 2024","2089","","","","","","Validate Council Output [HarrogateBoroughCouncil-None-None]",""
"passed","Sun Jan 21 01:19:34 GMT 2024","Sun Jan 21 01:19:38 GMT 2024","3625","","","","","","Validate Council Output [BuryCouncil-None-None]",""
"failed","Sun Jan 21 01:19:37 GMT 2024","Sun Jan 21 01:19:41 GMT 2024","3998","","","","","","Validate Council Output [HuntingdonDistrictCouncil-None-None]",""
"failed","Sun Jan 21 01:20:10 GMT 2024","Sun Jan 21 01:20:10 GMT 2024","714","","","","","","Validate Council Output [ValeofGlamorganCouncil-None-None]",""
"failed","Sun Jan 21 01:19:56 GMT 2024","Sun Jan 21 01:19:56 GMT 2024","151","","","","","","Validate Council Output [PrestonCityCouncil-http://selenium:4444-local]",""
"passed","Sun Jan 21 01:19:25 GMT 2024","Sun Jan 21 01:19:27 GMT 2024","1760","","","","","","Validate Council Output [CrawleyBoroughCouncil-None-None]",""
"passed","Sun Jan 21 01:19:50 GMT 2024","Sun Jan 21 01:19:50 GMT 2024","908","","","","","","Validate Council Output [LisburnCastlereaghCityCouncil-None-None]",""
"failed","Sun Jan 21 01:19:31 GMT 2024","Sun Jan 21 01:19:32 GMT 2024","884","","","","","","Validate Council Output [ChelmsfordCityCouncil-http://selenium:4444-local]",""
"failed","Sun Jan 21 01:20:14 GMT 2024","Sun Jan 21 01:20:14 GMT 2024","3","","","","","","Validate Council Output [WestSuffolkCouncil-http://selenium:4444-local]",""
"passed","Sun Jan 21 01:19:26 GMT 2024","Sun Jan 21 01:19:27 GMT 2024","954","","","","","","Validate Council Output [BarnsleyMBCouncil-None-None]",""
"passed","Sun Jan 21 01:19:32 GMT 2024","Sun Jan 21 01:19:34 GMT 2024","1629","","","","","","Validate Council Output [CheshireEastCouncil-None-None]",""
"passed","Sun Jan 21 01:19:28 GMT 2024","Sun Jan 21 01:19:29 GMT 2024","567","","","","","","Validate Council Output [BCPCouncil-None-None]",""
