"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 08 01:08:23 GMT 2024","Thu Feb 08 01:08:24 GMT 2024","1407","","","","","","Validate Council Output [StokeOnTrentCityCouncil-None-None]",""
"passed","Thu Feb 08 01:07:43 GMT 2024","Thu Feb 08 01:07:45 GMT 2024","1205","","","","","","Validate Council Output [MaldonDistrictCouncil-None-None]",""
"failed","Thu Feb 08 01:07:50 GMT 2024","Thu Feb 08 01:07:52 GMT 2024","1970","","","","","","Validate Council Output [MertonCouncil-None-None]",""
"passed","Thu Feb 08 01:07:31 GMT 2024","Thu Feb 08 01:07:32 GMT 2024","1820","","","","","","Validate Council Output [EastleighBoroughCouncil-None-None]",""
"failed","Thu Feb 08 01:08:14 GMT 2024","Thu Feb 08 01:08:14 GMT 2024","322","","","","","","Validate Council Output [PrestonCityCouncil-http://selenium:4444-local]",""
"passed","Thu Feb 08 01:08:01 GMT 2024","Thu Feb 08 01:08:07 GMT 2024","5754","","","","","","Validate Council Output [NorthLincolnshireCouncil-None-None]",""
"passed","Thu Feb 08 01:08:15 GMT 2024","Thu Feb 08 01:08:30 GMT 2024","15013","","","","","","Validate Council Output [SomersetCouncil-None-None]",""
"failed","Thu Feb 08 01:07:26 GMT 2024","Thu Feb 08 01:07:27 GMT 2024","1237","","","","","","Validate Council Output [ChelmsfordCityCouncil-http://selenium:4444-local]",""
"passed","Thu Feb 08 01:07:35 GMT 2024","Thu Feb 08 01:07:37 GMT 2024","2439","","","","","","Validate Council Output [ErewashBoroughCouncil-None-None]",""
"passed","Thu Feb 08 01:07:50 GMT 2024","Thu Feb 08 01:08:00 GMT 2024","9984","","","","","","Validate Council Output [NorthKestevenDistrictCouncil-None-None]",""
"passed","Thu Feb 08 01:07:18 GMT 2024","Thu Feb 08 01:07:20 GMT 2024","1405","","","","","","Validate Council Output [BarnsleyMBCouncil-None-None]",""
"passed","Thu Feb 08 01:08:12 GMT 2024","Thu Feb 08 01:08:16 GMT 2024","4557","","","","","","Validate Council Output [SouthOxfordshireCouncil-None-None]",""
"failed","Thu Feb 08 01:07:48 GMT 2024","Thu Feb 08 01:07:48 GMT 2024","3","","","","","","Validate Council Output [MidAndEastAntrimBoroughCouncil-http://selenium:4444-local]",""
"failed","Thu Feb 08 01:07:50 GMT 2024","Thu Feb 08 01:07:50 GMT 2024","224","","","","","","Validate Council Output [NorthEastDerbyshireDistrictCouncil-http://selenium:4444-local]",""
"failed","Thu Feb 08 01:08:04 GMT 2024","Thu Feb 08 01:08:04 GMT 2024","234","","","","","","Validate Council Output [RushcliffeBoroughCouncil-http://selenium:4444-local]",""
"passed","Thu Feb 08 01:08:10 GMT 2024","Thu Feb 08 01:08:13 GMT 2024","2173","","","","","","Validate Council Output [OldhamCouncil-None-None]",""
"passed","Thu Feb 08 01:07:25 GMT 2024","Thu Feb 08 01:07:26 GMT 2024","1222","","","","","","Validate Council Output [DorsetCouncil-None-None]",""
"passed","Thu Feb 08 01:07:29 GMT 2024","Thu Feb 08 01:07:55 GMT 2024","26496","","","","","","Validate Council Output [ChorleyCouncil-http://selenium:4444-local]",""
"failed","Thu Feb 08 01:07:59 GMT 2024","Thu Feb 08 01:07:59 GMT 2024","249","","","","","","Validate Council Output [GatesheadCouncil-http://selenium:4444-local]",""
"passed","Thu Feb 08 01:07:17 GMT 2024","Thu Feb 08 01:07:18 GMT 2024","1088","","","","","","Validate Council Output [ConwyCountyBorough-None-None]",""
"failed","Thu Feb 08 01:07:50 GMT 2024","Thu Feb 08 01:07:50 GMT 2024","213","","","","","","Validate Council Output [NeathPortTalbotCouncil-http://selenium:4444-local]",""
"passed","Thu Feb 08 01:07:51 GMT 2024","Thu Feb 08 01:07:58 GMT 2024","6982","","","","","","Validate Council Output [NewcastleCityCouncil-None-None]",""
"passed","Thu Feb 08 01:07:40 GMT 2024","Thu Feb 08 01:07:45 GMT 2024","5546","","","","","","Validate Council Output [LancasterCityCouncil-None-None]",""
"failed","Thu Feb 08 01:08:35 GMT 2024","Thu Feb 08 01:08:36 GMT 2024","213","","","","","","Validate Council Output [WestLothianCouncil-http://selenium:4444-local]",""
"passed","Thu Feb 08 01:08:30 GMT 2024","Thu Feb 08 01:08:32 GMT 2024","1711","","","","","","Validate Council Output [StratfordUponAvonCouncil-None-None]",""
"passed","Thu Feb 08 01:07:45 GMT 2024","Thu Feb 08 01:07:46 GMT 2024","965","","","","","","Validate Council Output [LisburnCastlereaghCityCouncil-None-None]",""
"passed","Thu Feb 08 01:08:40 GMT 2024","Thu Feb 08 01:10:18 GMT 2024","97352","","","","","","Validate Council Output [WiltshireCouncil-None-None]",""
"passed","Thu Feb 08 01:08:34 GMT 2024","Thu Feb 08 01:08:35 GMT 2024","1679","","","","","","Validate Council Output [WestLindseyDistrictCouncil-None-None]",""
"failed","Thu Feb 08 01:08:04 GMT 2024","Thu Feb 08 01:08:04 GMT 2024","240","","","","","","Validate Council Output [NorthWestLeicestershire-http://selenium:4444-local]",""
"failed","Thu Feb 08 01:07:17 GMT 2024","Thu Feb 08 01:07:18 GMT 2024","225","","","","","","Validate Council Output [BoltonCouncil-http://selenium:4444-local]",""
"passed","Thu Feb 08 01:07:28 GMT 2024","Thu Feb 08 01:07:31 GMT 2024","3177","","","","","","Validate Council Output [BedfordshireCouncil-None-None]",""
"passed","Thu Feb 08 01:07:48 GMT 2024","Thu Feb 08 01:07:50 GMT 2024","1883","","","","","","Validate Council Output [EastCambridgeshireCouncil-None-None]",""
"passed","Thu Feb 08 01:08:08 GMT 2024","Thu Feb 08 01:08:19 GMT 2024","10969","","","","","","Validate Council Output [RugbyBoroughCouncil-None-None]",""
"failed","Thu Feb 08 01:08:03 GMT 2024","Thu Feb 08 01:08:03 GMT 2024","2","","","","","","Validate Council Output [ReigateAndBansteadBoroughCouncil-http://selenium:4444-local]",""
"failed","Thu Feb 08 01:07:59 GMT 2024","Thu Feb 08 01:07:59 GMT 2024","3","","","","","","Validate Council Output [ForestOfDeanDistrictCouncil-http://selenium:4444-local]",""
"passed","Thu Feb 08 01:08:24 GMT 2024","Thu Feb 08 01:08:30 GMT 2024","5471","","","","","","Validate Council Output [TorbayCouncil-None-None]",""
"passed","Thu Feb 08 01:07:26 GMT 2024","Thu Feb 08 01:07:48 GMT 2024","21804","","","","","","Validate Council Output [DurhamCouncil-None-None]",""
"failed","Thu Feb 08 01:07:24 GMT 2024","Thu Feb 08 01:07:24 GMT 2024","3","","","","","","Validate Council Output [CastlepointDistrictCouncil-http://selenium:4444-local]",""
"passed","Thu Feb 08 01:08:46 GMT 2024","Thu Feb 08 01:08:47 GMT 2024","831","","","","","","Validate Council Output [YorkCouncil-None-None]",""
"passed","Thu Feb 08 01:07:25 GMT 2024","Thu Feb 08 01:07:27 GMT 2024","1071","","","","","","Validate Council Output [BathAndNorthEastSomersetCouncil-None-None]",""
"passed","Thu Feb 08 01:08:14 GMT 2024","Thu Feb 08 01:08:15 GMT 2024","724","","","","","","Validate Council Output [ReadingBoroughCouncil-None-None]",""
"failed","Thu Feb 08 01:07:18 GMT 2024","Thu Feb 08 01:07:18 GMT 2024","3","","","","","","Validate Council Output [BrightonandHoveCityCouncil-http://selenium:4444-local]",""
"passed","Thu Feb 08 01:08:07 GMT 2024","Thu Feb 08 01:08:09 GMT 2024","1513","","","","","","Validate Council Output [SouthAyrshireCouncil-None-None]",""
"failed","Thu Feb 08 01:07:32 GMT 2024","Thu Feb 08 01:07:33 GMT 2024","314","","","","","","Validate Council Output [EastLindseyDistrictCouncil-http://selenium:4444-local]",""
"failed","Thu Feb 08 01:07:22 GMT 2024","Thu Feb 08 01:07:27 GMT 2024","4647","","","","","","Validate Council Output [BromleyBoroughCouncil-http://selenium:4444-local]",""
"passed","Thu Feb 08 01:08:10 GMT 2024","Thu Feb 08 01:08:15 GMT 2024","5232","","","","","","Validate Council Output [ShropshireCouncil-None-None]",""
"failed","Thu Feb 08 01:08:07 GMT 2024","Thu Feb 08 01:08:07 GMT 2024","242","","","","","","Validate Council Output [NorthNorfolkDistrictCouncil-http://selenium:4444-local]",""
"passed","Thu Feb 08 01:08:00 GMT 2024","Thu Feb 08 01:08:01 GMT 2024","941","","","","","","Validate Council Output [NorthLanarkshireCouncil-None-None]",""
"passed","Thu Feb 08 01:07:27 GMT 2024","Thu Feb 08 01:07:29 GMT 2024","1967","","","","","","Validate Council Output [CheshireEastCouncil-None-None]",""
