"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Feb 10 01:08:06 GMT 2024","Sat Feb 10 01:08:09 GMT 2024","3023","","","","","","Validate Council Output [WindsorAndMaidenheadCouncil-None-None]",""
"passed","Sat Feb 10 01:07:57 GMT 2024","Sat Feb 10 01:07:59 GMT 2024","1366","","","","","","Validate Council Output [WealdenDistrictCouncil-None-None]",""
"passed","Sat Feb 10 01:06:01 GMT 2024","Sat Feb 10 01:06:02 GMT 2024","1046","","","","","","Validate Council Output [ConwyCountyBorough-None-None]",""
"failed","Sat Feb 10 01:06:30 GMT 2024","Sat Feb 10 01:06:30 GMT 2024","2","","","","","","Validate Council Output [GuildfordCouncil-http://selenium:4444-local]",""
"failed","Sat Feb 10 01:06:47 GMT 2024","Sat Feb 10 01:06:47 GMT 2024","134","","","","","","Validate Council Output [RushcliffeBoroughCouncil-http://selenium:4444-local]",""
"passed","Sat Feb 10 01:06:11 GMT 2024","Sat Feb 10 01:06:23 GMT 2024","12285","","","","","","Validate Council Output [ChorleyCouncil-http://selenium:4444-local]",""
"failed","Sat Feb 10 01:06:12 GMT 2024","Sat Feb 10 01:06:12 GMT 2024","2","","","","","","Validate Council Output [EastRidingCouncil-http://selenium:4444-local]",""
"failed","Sat Feb 10 01:06:02 GMT 2024","Sat Feb 10 01:06:02 GMT 2024","181","","","","","","Validate Council Output [BoltonCouncil-http://selenium:4444-local]",""
"failed","Sat Feb 10 01:08:45 GMT 2024","Sat Feb 10 01:08:45 GMT 2024","173","","","","","","Validate Council Output [PortsmouthCityCouncil-http://selenium:4444-local]",""
"failed","Sat Feb 10 01:06:21 GMT 2024","Sat Feb 10 01:06:21 GMT 2024","130","","","","","","Validate Council Output [NeathPortTalbotCouncil-http://selenium:4444-local]",""
"failed","Sat Feb 10 01:06:08 GMT 2024","Sat Feb 10 01:06:08 GMT 2024","2","","","","","","Validate Council Output [BuckinghamshireCouncil-http://selenium:4444-local]",""
"failed","Sat Feb 10 01:07:45 GMT 2024","Sat Feb 10 01:07:46 GMT 2024","1081","","","","","","Validate Council Output [ValeofGlamorganCouncil-None-None]",""
"failed","Sat Feb 10 01:07:08 GMT 2024","Sat Feb 10 01:07:08 GMT 2024","2","","","","","","Validate Council Output [NorthEastLincs-None-None]",""
"passed","Sat Feb 10 01:07:31 GMT 2024","Sat Feb 10 01:07:40 GMT 2024","9531","","","","","","Validate Council Output [TestValleyBoroughCouncil-None-None]",""
"failed","Sat Feb 10 01:07:59 GMT 2024","Sat Feb 10 01:07:59 GMT 2024","137","","","","","","Validate Council Output [WelhatCouncil-None-None]",""
"passed","Sat Feb 10 01:07:31 GMT 2024","Sat Feb 10 01:08:45 GMT 2024","73763","","","","","","Validate Council Output [OldhamCouncil-None-None]",""
"failed","Sat Feb 10 01:06:09 GMT 2024","Sat Feb 10 01:06:09 GMT 2024","152","","","","","","Validate Council Output [BarnetCouncil-http://selenium:4444-local]",""
"failed","Sat Feb 10 01:07:32 GMT 2024","Sat Feb 10 01:09:41 GMT 2024","129643","","","","","","Validate Council Output [TamesideMBCouncil-None-None]",""
"failed","Sat Feb 10 01:06:21 GMT 2024","Sat Feb 10 01:06:21 GMT 2024","2","","","","","","Validate Council Output [MiltonKeynesCityCouncil-None-None]",""
"passed","Sat Feb 10 01:06:16 GMT 2024","Sat Feb 10 01:06:18 GMT 2024","2362","","","","","","Validate Council Output [HaringeyCouncil-None-None]",""
"passed","Sat Feb 10 01:08:03 GMT 2024","Sat Feb 10 01:08:06 GMT 2024","2384","","","","","","Validate Council Output [WiltshireCouncil-None-None]",""
"failed","Sat Feb 10 01:06:31 GMT 2024","Sat Feb 10 01:06:31 GMT 2024","52","","","","","","Validate Council Output [NorthNorfolkDistrictCouncil-http://selenium:4444-local]",""
"failed","Sat Feb 10 01:06:37 GMT 2024","Sat Feb 10 01:06:37 GMT 2024","46","","","","","","Validate Council Output [NorthumberlandCouncil-http://selenium:4444-local]",""
"failed","Sat Feb 10 01:08:45 GMT 2024","Sat Feb 10 01:08:45 GMT 2024","143","","","","","","Validate Council Output [PrestonCityCouncil-http://selenium:4444-local]",""
"passed","Sat Feb 10 01:06:10 GMT 2024","Sat Feb 10 01:06:11 GMT 2024","1238","","","","","","Validate Council Output [BasingstokeCouncil-None-None]",""
"passed","Sat Feb 10 01:06:03 GMT 2024","Sat Feb 10 01:06:08 GMT 2024","4883","","","","","","Validate Council Output [CardiffCouncil-None-None]",""
"passed","Sat Feb 10 01:06:13 GMT 2024","Sat Feb 10 01:06:16 GMT 2024","3690","","","","","","Validate Council Output [DurhamCouncil-None-None]",""
"passed","Sat Feb 10 01:06:49 GMT 2024","Sat Feb 10 01:06:52 GMT 2024","2494","","","","","","Validate Council Output [SheffieldCityCouncil-None-None]",""
"passed","Sat Feb 10 01:07:11 GMT 2024","Sat Feb 10 01:07:14 GMT 2024","2937","","","","","","Validate Council Output [SouthOxfordshireCouncil-None-None]",""
"passed","Sat Feb 10 01:06:05 GMT 2024","Sat Feb 10 01:06:10 GMT 2024","5042","","","","","","Validate Council Output [CroydonCouncil-None-None]",""
"failed","Sat Feb 10 01:06:49 GMT 2024","Sat Feb 10 01:06:49 GMT 2024","3","","","","","","Validate Council Output [SevenoaksDistrictCouncil-http://selenium:4444-local]",""
"passed","Sat Feb 10 01:06:47 GMT 2024","Sat Feb 10 01:06:48 GMT 2024","579","","","","","","Validate Council Output [RushmoorCouncil-None-None]",""
"failed","Sat Feb 10 01:06:30 GMT 2024","Sat Feb 10 01:06:30 GMT 2024","2","","","","","","Validate Council Output [HaltonBoroughCouncil-http://selenium:4444-local]",""
"passed","Sat Feb 10 01:07:19 GMT 2024","Sat Feb 10 01:07:26 GMT 2024","6776","","","","","","Validate Council Output [StockportBoroughCouncil-None-None]",""
"passed","Sat Feb 10 01:07:40 GMT 2024","Sat Feb 10 01:07:42 GMT 2024","2102","","","","","","Validate Council Output [TonbridgeAndMallingBC-None-None]",""
"passed","Sat Feb 10 01:06:13 GMT 2024","Sat Feb 10 01:06:14 GMT 2024","1144","","","","","","Validate Council Output [EnvironmentFirst-None-None]",""
"passed","Sat Feb 10 01:06:11 GMT 2024","Sat Feb 10 01:06:12 GMT 2024","673","","","","","","Validate Council Output [BathAndNorthEastSomersetCouncil-None-None]",""
"failed","Sat Feb 10 01:06:20 GMT 2024","Sat Feb 10 01:06:21 GMT 2024","972","","","","","","Validate Council Output [MidSussexDistrictCouncil-None-None]",""
"failed","Sat Feb 10 01:06:22 GMT 2024","Sat Feb 10 01:07:00 GMT 2024","38456","","","","","","Validate Council Output [NewcastleCityCouncil-None-None]",""
"passed","Sat Feb 10 01:07:07 GMT 2024","Sat Feb 10 01:07:09 GMT 2024","1893","","","","","","Validate Council Output [SouthCambridgeshireCouncil-None-None]",""
"failed","Sat Feb 10 01:06:12 GMT 2024","Sat Feb 10 01:06:13 GMT 2024","161","","","","","","Validate Council Output [EastSuffolkCouncil-http://selenium:4444-local]",""
"passed","Sat Feb 10 01:06:34 GMT 2024","Sat Feb 10 01:06:37 GMT 2024","2667","","","","","","Validate Council Output [NorthTynesideCouncil-None-None]",""
"passed","Sat Feb 10 01:06:14 GMT 2024","Sat Feb 10 01:06:16 GMT 2024","2180","","","","","","Validate Council Output [ErewashBoroughCouncil-None-None]",""
"passed","Sat Feb 10 01:07:52 GMT 2024","Sat Feb 10 01:07:53 GMT 2024","1237","","","","","","Validate Council Output [WarwickDistrictCouncil-None-None]",""
"passed","Sat Feb 10 01:06:16 GMT 2024","Sat Feb 10 01:06:17 GMT 2024","737","","","","","","Validate Council Output [LisburnCastlereaghCityCouncil-None-None]",""
"failed","Sat Feb 10 01:06:21 GMT 2024","Sat Feb 10 01:06:22 GMT 2024","856","","","","","","Validate Council Output [NewarkAndSherwoodDC-None-None]",""
"failed","Sat Feb 10 01:07:15 GMT 2024","Sat Feb 10 01:07:15 GMT 2024","135","","","","","","Validate Council Output [StaffordshireMoorlandsDistrictCouncil-http://selenium:4444-local]",""
"passed","Sat Feb 10 01:07:53 GMT 2024","Sat Feb 10 01:07:57 GMT 2024","4098","","","","","","Validate Council Output [WaverleyBoroughCouncil-None-None]",""
"failed","Sat Feb 10 01:06:49 GMT 2024","Sat Feb 10 01:06:51 GMT 2024","2009","","","","","","Validate Council Output [LondonBoroughRedbridge-http://selenium:4444-local]",""
"passed","Sat Feb 10 01:08:00 GMT 2024","Sat Feb 10 01:08:03 GMT 2024","3134","","","","","","Validate Council Output [WiganBoroughCouncil-None-None]",""
"failed","Sat Feb 10 01:07:52 GMT 2024","Sat Feb 10 01:07:52 GMT 2024","2","","","","","","Validate Council Output [WakefieldCityCouncil-http://selenium:4444-local]",""
"passed","Sat Feb 10 01:08:10 GMT 2024","Sat Feb 10 01:08:11 GMT 2024","749","","","","","","Validate Council Output [NorthLanarkshireCouncil-None-None]",""
"passed","Sat Feb 10 01:06:01 GMT 2024","Sat Feb 10 01:06:09 GMT 2024","7485","","","","","","Validate Council Output [AylesburyValeCouncil-None-None]",""
"passed","Sat Feb 10 01:06:26 GMT 2024","Sat Feb 10 01:06:28 GMT 2024","1217","","","","","","Validate Council Output [GedlingBoroughCouncil-None-None]",""
"failed","Sat Feb 10 01:06:30 GMT 2024","Sat Feb 10 01:06:30 GMT 2024","136","","","","","","Validate Council Output [NorthWestLeicestershire-http://selenium:4444-local]",""
"passed","Sat Feb 10 01:06:09 GMT 2024","Sat Feb 10 01:06:10 GMT 2024","1025","","","","","","Validate Council Output [BarnsleyMBCouncil-None-None]",""
"passed","Sat Feb 10 01:06:41 GMT 2024","Sat Feb 10 01:06:47 GMT 2024","5833","","","","","","Validate Council Output [RugbyBoroughCouncil-None-None]",""
"failed","Sat Feb 10 01:06:20 GMT 2024","Sat Feb 10 01:06:20 GMT 2024","2","","","","","","Validate Council Output [MidAndEastAntrimBoroughCouncil-http://selenium:4444-local]",""
"passed","Sat Feb 10 01:07:10 GMT 2024","Sat Feb 10 01:07:11 GMT 2024","1398","","","","","","Validate Council Output [SouthNorfolkCouncil-None-None]",""
"failed","Sat Feb 10 01:06:30 GMT 2024","Sat Feb 10 01:07:31 GMT 2024","60721","","","","","","Validate Council Output [NottinghamCityCouncil-None-None]",""
"passed","Sat Feb 10 01:06:18 GMT 2024","Sat Feb 10 01:06:24 GMT 2024","5600","","","","","","Validate Council Output [HarrogateBoroughCouncil-None-None]",""
"passed","Sat Feb 10 01:07:09 GMT 2024","Sat Feb 10 01:07:10 GMT 2024","597","","","","","","Validate Council Output [SouthLanarkshireCouncil-None-None]",""
"failed","Sat Feb 10 01:06:01 GMT 2024","Sat Feb 10 01:06:02 GMT 2024","392","","","","","","Validate Council Output [CalderdaleCouncil-http://selenium:4444-local]",""
"failed","Sat Feb 10 01:08:00 GMT 2024","Sat Feb 10 01:08:00 GMT 2024","3","","","","","","Validate Council Output [WestSuffolkCouncil-http://selenium:4444-local]",""
"failed","Sat Feb 10 01:06:16 GMT 2024","Sat Feb 10 01:06:16 GMT 2024","3","","","","","","Validate Council Output [BexleyCouncil-http://selenium:4444-local]",""
"failed","Sat Feb 10 01:06:26 GMT 2024","Sat Feb 10 01:06:26 GMT 2024","3","","","","","","Validate Council Output [ForestOfDeanDistrictCouncil-http://selenium:4444-local]",""
"failed","Sat Feb 10 01:06:24 GMT 2024","Sat Feb 10 01:06:25 GMT 2024","1135","","","","","","Validate Council Output [HuntingdonDistrictCouncil-None-None]",""
"passed","Sat Feb 10 01:06:40 GMT 2024","Sat Feb 10 01:06:41 GMT 2024","1524","","","","","","Validate Council Output [RochdaleCouncil-None-None]",""
"passed","Sat Feb 10 01:06:31 GMT 2024","Sat Feb 10 01:06:33 GMT 2024","2212","","","","","","Validate Council Output [NorthNorthamptonshireCouncil-None-None]",""
"failed","Sat Feb 10 01:06:12 GMT 2024","Sat Feb 10 01:06:12 GMT 2024","61","","","","","","Validate Council Output [EastLindseyDistrictCouncil-http://selenium:4444-local]",""
"passed","Sat Feb 10 01:06:12 GMT 2024","Sat Feb 10 01:06:14 GMT 2024","1431","","","","","","Validate Council Output [BCPCouncil-None-None]",""
"failed","Sat Feb 10 01:06:19 GMT 2024","Sat Feb 10 01:06:20 GMT 2024","1246","","","","","","Validate Council Output [MertonCouncil-None-None]",""
"passed","Sat Feb 10 01:06:08 GMT 2024","Sat Feb 10 01:06:10 GMT 2024","1491","","","","","","Validate Council Output [CharnwoodBoroughCouncil-None-None]",""
"failed","Sat Feb 10 01:06:16 GMT 2024","Sat Feb 10 01:06:16 GMT 2024","127","","","","","","Validate Council Output [LeedsCityCouncil-http://selenium:4444-local]",""
"passed","Sat Feb 10 01:06:09 GMT 2024","Sat Feb 10 01:06:10 GMT 2024","1781","","","","","","Validate Council Output [BuryCouncil-None-None]",""
"failed","Sat Feb 10 01:06:51 GMT 2024","Sat Feb 10 01:07:27 GMT 2024","36511","","","","","","Validate Council Output [MaldonDistrictCouncil-None-None]",""
"failed","Sat Feb 10 01:06:01 GMT 2024","Sat Feb 10 01:06:02 GMT 2024","133","","","","","","Validate Council Output [BlackburnCouncil-http://selenium:4444-local]",""
"failed","Sat Feb 10 01:07:08 GMT 2024","Sat Feb 10 01:07:08 GMT 2024","153","","","","","","Validate Council Output [NorthEastDerbyshireDistrictCouncil-http://selenium:4444-local]",""
"failed","Sat Feb 10 01:06:24 GMT 2024","Sat Feb 10 01:06:24 GMT 2024","2","","","","","","Validate Council Output [HighPeakCouncil-http://selenium:4444-local]",""
"failed","Sat Feb 10 01:06:08 GMT 2024","Sat Feb 10 01:06:08 GMT 2024","2","","","","","","Validate Council Output [CastlepointDistrictCouncil-http://selenium:4444-local]",""
"passed","Sat Feb 10 01:06:11 GMT 2024","Sat Feb 10 01:06:12 GMT 2024","1424","","","","","","Validate Council Output [EastleighBoroughCouncil-None-None]",""
"passed","Sat Feb 10 01:06:02 GMT 2024","Sat Feb 10 01:06:03 GMT 2024","1429","","","","","","Validate Council Output [CannockChaseDistrictCouncil-None-None]",""
"passed","Sat Feb 10 01:06:14 GMT 2024","Sat Feb 10 01:06:16 GMT 2024","2563","","","","","","Validate Council Output [BedfordshireCouncil-None-None]",""
