"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 14 01:19:47 GMT 2024","Sun Jan 14 01:19:50 GMT 2024","2467","","","","","","Validate Council Output [OldhamCouncil-None-None]",""
"failed","Sun Jan 14 01:20:05 GMT 2024","Sun Jan 14 01:20:06 GMT 2024","1288","","","","","","Validate Council Output [TorbayCouncil-None-None]",""
"failed","Sun Jan 14 01:19:31 GMT 2024","Sun Jan 14 01:19:35 GMT 2024","3926","","","","","","Validate Council Output [LondonBoroughHounslow-None-None]",""
"passed","Sun Jan 14 01:19:37 GMT 2024","Sun Jan 14 01:19:39 GMT 2024","2398","","","","","","Validate Council Output [MaldonDistrictCouncil-None-None]",""
"failed","Sun Jan 14 01:19:20 GMT 2024","Sun Jan 14 01:19:20 GMT 2024","2","","","","","","Validate Council Output [BuckinghamshireCouncil-http://selenium:4444-local]",""
"passed","Sun Jan 14 01:19:39 GMT 2024","Sun Jan 14 01:19:41 GMT 2024","1350","","","","","","Validate Council Output [MalvernHillsDC-None-None]",""
"passed","Sun Jan 14 01:20:00 GMT 2024","Sun Jan 14 01:20:01 GMT 2024","1624","","","","","","Validate Council Output [SouthAyrshireCouncil-None-None]",""
"passed","Sun Jan 14 01:19:51 GMT 2024","Sun Jan 14 01:19:54 GMT 2024","2959","","","","","","Validate Council Output [SheffieldCityCouncil-None-None]",""
"passed","Sun Jan 14 01:20:17 GMT 2024","Sun Jan 14 01:20:19 GMT 2024","1819","","","","","","Validate Council Output [WealdenDistrictCouncil-None-None]",""
"failed","Sun Jan 14 01:19:38 GMT 2024","Sun Jan 14 01:19:38 GMT 2024","3","","","","","","Validate Council Output [NorthEastLincs-None-None]",""
"passed","Sun Jan 14 01:19:36 GMT 2024","Sun Jan 14 01:19:37 GMT 2024","960","","","","","","Validate Council Output [LisburnCastlereaghCityCouncil-None-None]",""
"failed","Sun Jan 14 01:19:50 GMT 2024","Sun Jan 14 01:19:50 GMT 2024","71","","","","","","Validate Council Output [NorthNorfolkDistrictCouncil-http://selenium:4444-local]",""
"failed","Sun Jan 14 01:19:13 GMT 2024","Sun Jan 14 01:19:13 GMT 2024","3","","","","","","Validate Council Output [BrightonandHoveCityCouncil-http://selenium:4444-local]",""
"failed","Sun Jan 14 01:19:44 GMT 2024","Sun Jan 14 01:19:44 GMT 2024","3","","","","","","Validate Council Output [GuildfordCouncil-http://selenium:4444-local]",""
"passed","Sun Jan 14 01:19:37 GMT 2024","Sun Jan 14 01:19:38 GMT 2024","1457","","","","","","Validate Council Output [LiverpoolCityCouncil-None-None]",""
"failed","Sun Jan 14 01:20:14 GMT 2024","Sun Jan 14 01:20:14 GMT 2024","2","","","","","","Validate Council Output [WakefieldCityCouncil-http://selenium:4444-local]",""
"failed","Sun Jan 14 01:19:13 GMT 2024","Sun Jan 14 01:19:13 GMT 2024","105","","","","","","Validate Council Output [BlackburnCouncil-http://selenium:4444-local]",""
"failed","Sun Jan 14 01:19:36 GMT 2024","Sun Jan 14 01:19:36 GMT 2024","201","","","","","","Validate Council Output [LeedsCityCouncil-http://selenium:4444-local]",""
"passed","Sun Jan 14 01:19:13 GMT 2024","Sun Jan 14 01:19:14 GMT 2024","1142","","","","","","Validate Council Output [AylesburyValeCouncil-None-None]",""
"passed","Sun Jan 14 01:19:13 GMT 2024","Sun Jan 14 01:19:14 GMT 2024","1372","","","","","","Validate Council Output [ConwyCountyBorough-None-None]",""
"passed","Sun Jan 14 01:19:51 GMT 2024","Sun Jan 14 01:19:53 GMT 2024","2061","","","","","","Validate Council Output [SalfordCityCouncil-None-None]",""
"failed","Sun Jan 14 01:19:22 GMT 2024","Sun Jan 14 01:19:22 GMT 2024","69","","","","","","Validate Council Output [DerbyshireDalesDistrictCouncil-http://selenium:4444-local]",""
"failed","Sun Jan 14 01:20:02 GMT 2024","Sun Jan 14 01:20:03 GMT 2024","887","","","","","","Validate Council Output [SouthTynesideCouncil-None-None]",""
"failed","Sun Jan 14 01:20:15 GMT 2024","Sun Jan 14 01:20:19 GMT 2024","3377","","","","","","Validate Council Output [TorridgeDistrictCouncil-None-None]",""
"failed","Sun Jan 14 01:19:35 GMT 2024","Sun Jan 14 01:19:37 GMT 2024","1944","","","","","","Validate Council Output [LondonBoroughRedbridge-http://selenium:4444-local]",""
"passed","Sun Jan 14 01:19:41 GMT 2024","Sun Jan 14 01:19:44 GMT 2024","3840","","","","","","Validate Council Output [ManchesterCityCouncil-None-None]",""
"passed","Sun Jan 14 01:19:46 GMT 2024","Sun Jan 14 01:19:50 GMT 2024","3697","","","","","","Validate Council Output [NorthLincolnshireCouncil-None-None]",""
"failed","Sun Jan 14 01:20:06 GMT 2024","Sun Jan 14 01:20:07 GMT 2024","1168","","","","","","Validate Council Output [ValeofGlamorganCouncil-None-None]",""
"passed","Sun Jan 14 01:19:15 GMT 2024","Sun Jan 14 01:19:17 GMT 2024","1471","","","","","","Validate Council Output [BasingstokeCouncil-None-None]",""
"passed","Sun Jan 14 01:19:14 GMT 2024","Sun Jan 14 01:19:15 GMT 2024","1332","","","","","","Validate Council Output [BarnsleyMBCouncil-None-None]",""
"passed","Sun Jan 14 01:19:50 GMT 2024","Sun Jan 14 01:20:00 GMT 2024","9117","","","","","","Validate Council Output [RugbyBoroughCouncil-None-None]",""
"passed","Sun Jan 14 01:20:01 GMT 2024","Sun Jan 14 01:20:04 GMT 2024","2352","","","","","","Validate Council Output [SouthCambridgeshireCouncil-None-None]",""
"passed","Sun Jan 14 01:19:35 GMT 2024","Sun Jan 14 01:19:36 GMT 2024","1254","","","","","","Validate Council Output [NewarkAndSherwoodDC-None-None]",""
"passed","Sun Jan 14 01:19:43 GMT 2024","Sun Jan 14 01:19:47 GMT 2024","4392","","","","","","Validate Council Output [NewportCityCouncil-None-None]",""
"failed","Sun Jan 14 01:19:22 GMT 2024","Sun Jan 14 01:19:22 GMT 2024","5","","","","","","Validate Council Output [BexleyCouncil-http://selenium:4444-local]",""
"passed","Sun Jan 14 01:19:22 GMT 2024","Sun Jan 14 01:19:24 GMT 2024","2101","","","","","","Validate Council Output [CheshireEastCouncil-None-None]",""
"passed","Sun Jan 14 01:19:44 GMT 2024","Sun Jan 14 01:19:47 GMT 2024","3231","","","","","","Validate Council Output [NottinghamCityCouncil-None-None]",""
"passed","Sun Jan 14 01:19:45 GMT 2024","Sun Jan 14 01:19:46 GMT 2024","984","","","","","","Validate Council Output [NorthLanarkshireCouncil-None-None]",""
"passed","Sun Jan 14 01:19:28 GMT 2024","Sun Jan 14 01:19:31 GMT 2024","2582","","","","","","Validate Council Output [ErewashBoroughCouncil-None-None]",""
"passed","Sun Jan 14 01:19:38 GMT 2024","Sun Jan 14 01:19:45 GMT 2024","6929","","","","","","Validate Council Output [NorthKestevenDistrictCouncil-None-None]",""
"failed","Sun Jan 14 01:19:21 GMT 2024","Sun Jan 14 01:19:22 GMT 2024","1277","","","","","","Validate Council Output [ChelmsfordCityCouncil-http://selenium:4444-local]",""
"passed","Sun Jan 14 01:19:18 GMT 2024","Sun Jan 14 01:19:21 GMT 2024","2071","","","","","","Validate Council Output [CharnwoodBoroughCouncil-None-None]",""
"passed","Sun Jan 14 01:19:14 GMT 2024","Sun Jan 14 01:19:18 GMT 2024","4236","","","","","","Validate Council Output [CardiffCouncil-None-None]",""
"passed","Sun Jan 14 01:19:59 GMT 2024","Sun Jan 14 01:20:09 GMT 2024","10525","","","","","","Validate Council Output [SomersetCouncil-None-None]",""
