"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Feb 08 01:08:11 GMT 2024","Thu Feb 08 01:08:13 GMT 2024","2346","","","","","","Validate Council Output [SouthNorfolkCouncil-None-None]",""
"failed","Thu Feb 08 01:07:42 GMT 2024","Thu Feb 08 01:07:42 GMT 2024","2","","","","","","Validate Council Output [NorthEastLincs-None-None]",""
"passed","Thu Feb 08 01:07:20 GMT 2024","Thu Feb 08 01:07:21 GMT 2024","766","","","","","","Validate Council Output [BathAndNorthEastSomersetCouncil-None-None]",""
"failed","Thu Feb 08 01:07:58 GMT 2024","Thu Feb 08 01:07:58 GMT 2024","63","","","","","","Validate Council Output [NorthNorfolkDistrictCouncil-http://selenium:4444-local]",""
"passed","Thu Feb 08 01:08:10 GMT 2024","Thu Feb 08 01:08:23 GMT 2024","12902","","","","","","Validate Council Output [RugbyBoroughCouncil-None-None]",""
"failed","Thu Feb 08 01:07:18 GMT 2024","Thu Feb 08 01:07:18 GMT 2024","143","","","","","","Validate Council Output [EastSuffolkCouncil-http://selenium:4444-local]",""
"passed","Thu Feb 08 01:08:17 GMT 2024","Thu Feb 08 01:08:20 GMT 2024","2761","","","","","","Validate Council Output [StokeOnTrentCityCouncil-None-None]",""
"failed","Thu Feb 08 01:07:26 GMT 2024","Thu Feb 08 01:07:34 GMT 2024","7331","","","","","","Validate Council Output [LondonBoroughHounslow-None-None]",""
"passed","Thu Feb 08 01:08:25 GMT 2024","Thu Feb 08 01:08:26 GMT 2024","1451","","","","","","Validate Council Output [StratfordUponAvonCouncil-None-None]",""
"failed","Thu Feb 08 01:07:15 GMT 2024","Thu Feb 08 01:07:15 GMT 2024","3","","","","","","Validate Council Output [CastlepointDistrictCouncil-http://selenium:4444-local]",""
"passed","Thu Feb 08 01:08:00 GMT 2024","Thu Feb 08 01:08:02 GMT 2024","2165","","","","","","Validate Council Output [GlasgowCityCouncil-None-None]",""
"passed","Thu Feb 08 01:08:05 GMT 2024","Thu Feb 08 01:08:11 GMT 2024","5045","","","","","","Validate Council Output [ReadingBoroughCouncil-None-None]",""
"passed","Thu Feb 08 01:07:48 GMT 2024","Thu Feb 08 01:07:50 GMT 2024","2001","","","","","","Validate Council Output [EastCambridgeshireCouncil-None-None]",""
"failed","Thu Feb 08 01:07:44 GMT 2024","Thu Feb 08 01:07:44 GMT 2024","2","","","","","","Validate Council Output [MiltonKeynesCityCouncil-None-None]",""
"passed","Thu Feb 08 01:07:23 GMT 2024","Thu Feb 08 01:07:48 GMT 2024","24911","","","","","","Validate Council Output [DurhamCouncil-None-None]",""
"passed","Thu Feb 08 01:07:51 GMT 2024","Thu Feb 08 01:07:57 GMT 2024","5511","","","","","","Validate Council Output [NorthSomersetCouncil-None-None]",""
"passed","Thu Feb 08 01:08:02 GMT 2024","Thu Feb 08 01:08:03 GMT 2024","635","","","","","","Validate Council Output [RushmoorCouncil-None-None]",""
"passed","Thu Feb 08 01:07:08 GMT 2024","Thu Feb 08 01:07:09 GMT 2024","930","","","","","","Validate Council Output [CannockChaseDistrictCouncil-None-None]",""
"passed","Thu Feb 08 01:07:37 GMT 2024","Thu Feb 08 01:07:38 GMT 2024","971","","","","","","Validate Council Output [MalvernHillsDC-None-None]",""
"passed","Thu Feb 08 01:08:03 GMT 2024","Thu Feb 08 01:08:05 GMT 2024","2469","","","","","","Validate Council Output [OldhamCouncil-None-None]",""
"passed","Thu Feb 08 01:07:50 GMT 2024","Thu Feb 08 01:07:51 GMT 2024","1264","","","","","","Validate Council Output [NorthNorthamptonshireCouncil-None-None]",""
"passed","Thu Feb 08 01:07:08 GMT 2024","Thu Feb 08 01:07:14 GMT 2024","6083","","","","","","Validate Council Output [CrawleyBoroughCouncil-None-None]",""
"failed","Thu Feb 08 01:08:16 GMT 2024","Thu Feb 08 01:08:17 GMT 2024","930","","","","","","Validate Council Output [SouthTynesideCouncil-None-None]",""
"failed","Thu Feb 08 01:08:05 GMT 2024","Thu Feb 08 01:08:05 GMT 2024","151","","","","","","Validate Council Output [PrestonCityCouncil-http://selenium:4444-local]",""
"passed","Thu Feb 08 01:07:09 GMT 2024","Thu Feb 08 01:07:15 GMT 2024","5750","","","","","","Validate Council Output [CardiffCouncil-None-None]",""
"passed","Thu Feb 08 01:08:34 GMT 2024","Thu Feb 08 01:08:36 GMT 2024","1478","","","","","","Validate Council Output [WealdenDistrictCouncil-None-None]",""
"passed","Thu Feb 08 01:08:35 GMT 2024","Thu Feb 08 01:08:36 GMT 2024","967","","","","","","Validate Council Output [WestLindseyDistrictCouncil-None-None]",""
"passed","Thu Feb 08 01:07:22 GMT 2024","Thu Feb 08 01:07:23 GMT 2024","970","","","","","","Validate Council Output [DorsetCouncil-None-None]",""
"passed","Thu Feb 08 01:07:36 GMT 2024","Thu Feb 08 01:07:37 GMT 2024","1227","","","","","","Validate Council Output [MaldonDistrictCouncil-None-None]",""
"failed","Thu Feb 08 01:08:02 GMT 2024","Thu Feb 08 01:08:02 GMT 2024","3","","","","","","Validate Council Output [HaltonBoroughCouncil-http://selenium:4444-local]",""
"passed","Thu Feb 08 01:07:52 GMT 2024","Thu Feb 08 01:07:58 GMT 2024","5851","","","","","","Validate Council Output [FenlandDistrictCouncil-None-None]",""
"passed","Thu Feb 08 01:08:09 GMT 2024","Thu Feb 08 01:08:10 GMT 2024","1590","","","","","","Validate Council Output [RochdaleCouncil-None-None]",""
"passed","Thu Feb 08 01:08:35 GMT 2024","Thu Feb 08 01:08:46 GMT 2024","10209","","","","","","Validate Council Output [WaverleyBoroughCouncil-None-None]",""
"failed","Thu Feb 08 01:07:07 GMT 2024","Thu Feb 08 01:07:08 GMT 2024","237","","","","","","Validate Council Output [BoltonCouncil-http://selenium:4444-local]",""
