"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 04 01:13:31 GMT 2024","Sun Feb 04 01:13:32 GMT 2024","996","","","","","","Validate Council Output [LisburnCastlereaghCityCouncil-None-None]",""
"passed","Sun Feb 04 01:14:28 GMT 2024","Sun Feb 04 01:14:30 GMT 2024","2012","","","","","","Validate Council Output [WealdenDistrictCouncil-None-None]",""
"passed","Sun Feb 04 01:13:57 GMT 2024","Sun Feb 04 01:14:00 GMT 2024","3258","","","","","","Validate Council Output [SheffieldCityCouncil-None-None]",""
"passed","Sun Feb 04 01:13:41 GMT 2024","Sun Feb 04 01:13:42 GMT 2024","1278","","","","","","Validate Council Output [NorthLanarkshireCouncil-None-None]",""
"passed","Sun Feb 04 01:13:59 GMT 2024","Sun Feb 04 01:14:01 GMT 2024","1745","","","","","","Validate Council Output [EastleighBoroughCouncil-None-None]",""
"passed","Sun Feb 04 01:14:15 GMT 2024","Sun Feb 04 01:14:26 GMT 2024","10584","","","","","","Validate Council Output [TestValleyBoroughCouncil-None-None]",""
"passed","Sun Feb 04 01:14:23 GMT 2024","Sun Feb 04 01:14:28 GMT 2024","4835","","","","","","Validate Council Output [WaverleyBoroughCouncil-None-None]",""
"failed","Sun Feb 04 01:13:09 GMT 2024","Sun Feb 04 01:13:11 GMT 2024","1285","","","","","","Validate Council Output [ChelmsfordCityCouncil-http://selenium:4444-local]",""
"passed","Sun Feb 04 01:13:29 GMT 2024","Sun Feb 04 01:13:30 GMT 2024","1444","","","","","","Validate Council Output [MalvernHillsDC-None-None]",""
"passed","Sun Feb 04 01:14:16 GMT 2024","Sun Feb 04 01:14:19 GMT 2024","2443","","","","","","Validate Council Output [SouthNorfolkCouncil-None-None]",""
"failed","Sun Feb 04 01:13:49 GMT 2024","Sun Feb 04 01:13:49 GMT 2024","196","","","","","","Validate Council Output [NorthWestLeicestershire-http://selenium:4444-local]",""
"passed","Sun Feb 04 01:14:12 GMT 2024","Sun Feb 04 01:14:18 GMT 2024","6438","","","","","","Validate Council Output [StockportBoroughCouncil-None-None]",""
"failed","Sun Feb 04 01:13:07 GMT 2024","Sun Feb 04 01:13:07 GMT 2024","47","","","","","","Validate Council Output [BroxtoweBoroughCouncil-http://selenium:4444-local]",""
"passed","Sun Feb 04 01:14:01 GMT 2024","Sun Feb 04 01:14:03 GMT 2024","1687","","","","","","Validate Council Output [EnvironmentFirst-None-None]",""
"passed","Sun Feb 04 01:14:26 GMT 2024","Sun Feb 04 01:14:38 GMT 2024","11858","","","","","","Validate Council Output [TorbayCouncil-None-None]",""
"failed","Sun Feb 04 01:14:13 GMT 2024","Sun Feb 04 01:14:14 GMT 2024","1396","","","","","","Validate Council Output [SouthTynesideCouncil-None-None]",""
"failed","Sun Feb 04 01:14:10 GMT 2024","Sun Feb 04 01:14:10 GMT 2024","50","","","","","","Validate Council Output [NorthEastDerbyshireDistrictCouncil-http://selenium:4444-local]",""
"passed","Sun Feb 04 01:14:05 GMT 2024","Sun Feb 04 01:14:15 GMT 2024","10092","","","","","","Validate Council Output [SomersetCouncil-None-None]",""
"passed","Sun Feb 04 01:14:13 GMT 2024","Sun Feb 04 01:14:15 GMT 2024","2072","","","","","","Validate Council Output [StratfordUponAvonCouncil-None-None]",""
