"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 07 01:07:03 GMT 2024","Wed Feb 07 01:07:05 GMT 2024","2159","","","","","","Validate Council Output [NorthSomersetCouncil-None-None]",""
"passed","Wed Feb 07 01:06:34 GMT 2024","Wed Feb 07 01:06:39 GMT 2024","4324","","","","","","Validate Council Output [BuryCouncil-None-None]",""
"passed","Wed Feb 07 01:06:42 GMT 2024","Wed Feb 07 01:06:46 GMT 2024","3785","","","","","","Validate Council Output [BedfordshireCouncil-None-None]",""
"failed","Wed Feb 07 01:06:42 GMT 2024","Wed Feb 07 01:06:42 GMT 2024","189","","","","","","Validate Council Output [EastSuffolkCouncil-http://selenium:4444-local]",""
"passed","Wed Feb 07 01:06:47 GMT 2024","Wed Feb 07 01:06:53 GMT 2024","5216","","","","","","Validate Council Output [LancasterCityCouncil-None-None]",""
"passed","Wed Feb 07 01:06:40 GMT 2024","Wed Feb 07 01:06:41 GMT 2024","1617","","","","","","Validate Council Output [EastleighBoroughCouncil-None-None]",""
"failed","Wed Feb 07 01:07:51 GMT 2024","Wed Feb 07 01:07:52 GMT 2024","607","","","","","","Validate Council Output [PortsmouthCityCouncil-http://selenium:4444-local]",""
"passed","Wed Feb 07 01:07:48 GMT 2024","Wed Feb 07 01:10:41 GMT 2024","172992","","","","","","Validate Council Output [WiltshireCouncil-None-None]",""
"failed","Wed Feb 07 01:06:53 GMT 2024","Wed Feb 07 01:06:53 GMT 2024","196","","","","","","Validate Council Output [LeedsCityCouncil-http://selenium:4444-local]",""
"passed","Wed Feb 07 01:06:39 GMT 2024","Wed Feb 07 01:06:40 GMT 2024","1169","","","","","","Validate Council Output [EastDevonDC-None-None]",""
"failed","Wed Feb 07 01:07:34 GMT 2024","Wed Feb 07 01:07:35 GMT 2024","1424","","","","","","Validate Council Output [ValeofGlamorganCouncil-None-None]",""
"failed","Wed Feb 07 01:06:56 GMT 2024","Wed Feb 07 01:06:56 GMT 2024","193","","","","","","Validate Council Output [NorthEastDerbyshireDistrictCouncil-http://selenium:4444-local]",""
"failed","Wed Feb 07 01:06:58 GMT 2024","Wed Feb 07 01:07:00 GMT 2024","2182","","","","","","Validate Council Output [MertonCouncil-None-None]",""
"passed","Wed Feb 07 01:06:31 GMT 2024","Wed Feb 07 01:06:33 GMT 2024","1675","","","","","","Validate Council Output [DoncasterCouncil-None-None]",""
"failed","Wed Feb 07 01:06:34 GMT 2024","Wed Feb 07 01:06:35 GMT 2024","1235","","","","","","Validate Council Output [ChelmsfordCityCouncil-http://selenium:4444-local]",""
"failed","Wed Feb 07 01:06:26 GMT 2024","Wed Feb 07 01:06:27 GMT 2024","250","","","","","","Validate Council Output [BoltonCouncil-http://selenium:4444-local]",""
"failed","Wed Feb 07 01:07:29 GMT 2024","Wed Feb 07 01:07:29 GMT 2024","189","","","","","","Validate Council Output [StaffordshireMoorlandsDistrictCouncil-http://selenium:4444-local]",""
"passed","Wed Feb 07 01:07:40 GMT 2024","Wed Feb 07 01:07:41 GMT 2024","1437","","","","","","Validate Council Output [WarwickDistrictCouncil-None-None]",""
"failed","Wed Feb 07 01:06:47 GMT 2024","Wed Feb 07 01:06:47 GMT 2024","2","","","","","","Validate Council Output [MiltonKeynesCityCouncil-None-None]",""
"passed","Wed Feb 07 01:06:51 GMT 2024","Wed Feb 07 01:06:52 GMT 2024","1217","","","","","","Validate Council Output [MaldonDistrictCouncil-None-None]",""
"failed","Wed Feb 07 01:07:52 GMT 2024","Wed Feb 07 01:07:52 GMT 2024","186","","","","","","Validate Council Output [PrestonCityCouncil-http://selenium:4444-local]",""
"passed","Wed Feb 07 01:07:08 GMT 2024","Wed Feb 07 01:07:11 GMT 2024","2411","","","","","","Validate Council Output [GlasgowCityCouncil-None-None]",""
"passed","Wed Feb 07 01:06:48 GMT 2024","Wed Feb 07 01:06:58 GMT 2024","9521","","","","","","Validate Council Output [NewcastleCityCouncil-None-None]",""
"passed","Wed Feb 07 01:07:43 GMT 2024","Wed Feb 07 01:07:44 GMT 2024","1491","","","","","","Validate Council Output [WestLindseyDistrictCouncil-None-None]",""
"failed","Wed Feb 07 01:07:06 GMT 2024","Wed Feb 07 01:07:06 GMT 2024","185","","","","","","Validate Council Output [GatesheadCouncil-http://selenium:4444-local]",""
"passed","Wed Feb 07 01:07:19 GMT 2024","Wed Feb 07 01:07:29 GMT 2024","10362","","","","","","Validate Council Output [SomersetCouncil-None-None]",""
"passed","Wed Feb 07 01:09:37 GMT 2024","Wed Feb 07 01:09:45 GMT 2024","7862","","","","","","Validate Council Output [TonbridgeAndMallingBC-None-None]",""
"passed","Wed Feb 07 01:06:41 GMT 2024","Wed Feb 07 01:06:42 GMT 2024","1102","","","","","","Validate Council Output [BCPCouncil-None-None]",""
