"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 05 01:11:26 GMT 2024","Mon Feb 05 01:11:29 GMT 2024","3021","","","","","","Validate Council Output [WindsorAndMaidenheadCouncil-None-None]",""
"failed","Mon Feb 05 01:10:39 GMT 2024","Mon Feb 05 01:10:39 GMT 2024","2","","","","","","Validate Council Output [MiltonKeynesCityCouncil-None-None]",""
"passed","Mon Feb 05 01:10:34 GMT 2024","Mon Feb 05 01:10:37 GMT 2024","2385","","","","","","Validate Council Output [ErewashBoroughCouncil-None-None]",""
"passed","Mon Feb 05 01:11:14 GMT 2024","Mon Feb 05 01:11:15 GMT 2024","1202","","","","","","Validate Council Output [SouthAyrshireCouncil-None-None]",""
"passed","Mon Feb 05 01:11:05 GMT 2024","Mon Feb 05 01:11:14 GMT 2024","9144","","","","","","Validate Council Output [SomersetCouncil-None-None]",""
"failed","Mon Feb 05 01:10:43 GMT 2024","Mon Feb 05 01:10:44 GMT 2024","618","","","","","","Validate Council Output [KingstonUponThamesCouncil-None-None]",""
"passed","Mon Feb 05 01:10:23 GMT 2024","Mon Feb 05 01:10:29 GMT 2024","5420","","","","","","Validate Council Output [BasingstokeCouncil-None-None]",""
"failed","Mon Feb 05 01:11:02 GMT 2024","Mon Feb 05 01:11:02 GMT 2024","148","","","","","","Validate Council Output [RushcliffeBoroughCouncil-http://selenium:4444-local]",""
"passed","Mon Feb 05 01:11:01 GMT 2024","Mon Feb 05 01:11:02 GMT 2024","676","","","","","","Validate Council Output [SouthLanarkshireCouncil-None-None]",""
"failed","Mon Feb 05 01:10:28 GMT 2024","Mon Feb 05 01:10:28 GMT 2024","151","","","","","","Validate Council Output [BroxtoweBoroughCouncil-http://selenium:4444-local]",""
"passed","Mon Feb 05 01:13:20 GMT 2024","Mon Feb 05 01:13:26 GMT 2024","6084","","","","","","Validate Council Output [ValeofWhiteHorseCouncil-None-None]",""
"failed","Mon Feb 05 01:11:17 GMT 2024","Mon Feb 05 01:11:17 GMT 2024","3","","","","","","Validate Council Output [WakefieldCityCouncil-http://selenium:4444-local]",""
"failed","Mon Feb 05 01:10:57 GMT 2024","Mon Feb 05 01:10:57 GMT 2024","3","","","","","","Validate Council Output [SevenoaksDistrictCouncil-http://selenium:4444-local]",""
"passed","Mon Feb 05 01:10:57 GMT 2024","Mon Feb 05 01:11:00 GMT 2024","2618","","","","","","Validate Council Output [SheffieldCityCouncil-None-None]",""
"passed","Mon Feb 05 01:10:27 GMT 2024","Mon Feb 05 01:10:29 GMT 2024","1983","","","","","","Validate Council Output [CharnwoodBoroughCouncil-None-None]",""
"failed","Mon Feb 05 01:11:23 GMT 2024","Mon Feb 05 01:11:23 GMT 2024","3","","","","","","Validate Council Output [WestSuffolkCouncil-http://selenium:4444-local]",""
"passed","Mon Feb 05 01:10:40 GMT 2024","Mon Feb 05 01:10:49 GMT 2024","8225","","","","","","Validate Council Output [NewcastleCityCouncil-None-None]",""
"failed","Mon Feb 05 01:10:21 GMT 2024","Mon Feb 05 01:10:21 GMT 2024","2","","","","","","Validate Council Output [BrightonandHoveCityCouncil-http://selenium:4444-local]",""
"failed","Mon Feb 05 01:10:55 GMT 2024","Mon Feb 05 01:10:55 GMT 2024","2","","","","","","Validate Council Output [ReigateAndBansteadBoroughCouncil-http://selenium:4444-local]",""
"passed","Mon Feb 05 01:10:52 GMT 2024","Mon Feb 05 01:10:57 GMT 2024","5151","","","","","","Validate Council Output [NorthKestevenDistrictCouncil-None-None]",""
"passed","Mon Feb 05 01:10:28 GMT 2024","Mon Feb 05 01:10:30 GMT 2024","1885","","","","","","Validate Council Output [BuryCouncil-None-None]",""
"passed","Mon Feb 05 01:10:21 GMT 2024","Mon Feb 05 01:10:22 GMT 2024","911","","","","","","Validate Council Output [CannockChaseDistrictCouncil-None-None]",""
"failed","Mon Feb 05 01:10:40 GMT 2024","Mon Feb 05 01:10:42 GMT 2024","1775","","","","","","Validate Council Output [LondonBoroughRedbridge-http://selenium:4444-local]",""
"passed","Mon Feb 05 01:10:31 GMT 2024","Mon Feb 05 01:10:32 GMT 2024","1154","","","","","","Validate Council Output [DorsetCouncil-None-None]",""
"passed","Mon Feb 05 01:10:52 GMT 2024","Mon Feb 05 01:10:54 GMT 2024","2689","","","","","","Validate Council Output [GlasgowCityCouncil-None-None]",""
"failed","Mon Feb 05 01:10:29 GMT 2024","Mon Feb 05 01:10:30 GMT 2024","946","","","","","","Validate Council Output [ChelmsfordCityCouncil-http://selenium:4444-local]",""
"passed","Mon Feb 05 01:11:29 GMT 2024","Mon Feb 05 01:11:30 GMT 2024","591","","","","","","Validate Council Output [YorkCouncil-None-None]",""
"passed","Mon Feb 05 01:10:47 GMT 2024","Mon Feb 05 01:10:52 GMT 2024","4368","","","","","","Validate Council Output [NottinghamCityCouncil-None-None]",""
"passed","Mon Feb 05 01:10:21 GMT 2024","Mon Feb 05 01:10:26 GMT 2024","5266","","","","","","Validate Council Output [BristolCityCouncil-None-None]",""
"passed","Mon Feb 05 01:11:21 GMT 2024","Mon Feb 05 01:11:23 GMT 2024","2753","","","","","","Validate Council Output [WealdenDistrictCouncil-None-None]",""
