"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Feb 10 01:06:28 GMT 2024","Sat Feb 10 01:06:33 GMT 2024","5042","","","","","","Validate Council Output [MertonCouncil-None-None]",""
"passed","Sat Feb 10 01:06:06 GMT 2024","Sat Feb 10 01:06:09 GMT 2024","2672","","","","","","Validate Council Output [AylesburyValeCouncil-None-None]",""
"passed","Sat Feb 10 01:08:47 GMT 2024","Sat Feb 10 01:08:50 GMT 2024","3583","","","","","","Validate Council Output [WiganBoroughCouncil-None-None]",""
"failed","Sat Feb 10 01:06:21 GMT 2024","Sat Feb 10 01:06:21 GMT 2024","3","","","","","","Validate Council Output [BexleyCouncil-http://selenium:4444-local]",""
"passed","Sat Feb 10 01:07:30 GMT 2024","Sat Feb 10 01:07:33 GMT 2024","3066","","","","","","Validate Council Output [StokeOnTrentCityCouncil-None-None]",""
"failed","Sat Feb 10 01:06:48 GMT 2024","Sat Feb 10 01:07:56 GMT 2024","68274","","","","","","Validate Council Output [NottinghamCityCouncil-None-None]",""
"passed","Sat Feb 10 01:06:08 GMT 2024","Sat Feb 10 01:06:10 GMT 2024","2892","","","","","","Validate Council Output [CardiffCouncil-None-None]",""
"failed","Sat Feb 10 01:07:19 GMT 2024","Sat Feb 10 01:07:19 GMT 2024","55","","","","","","Validate Council Output [StaffordshireMoorlandsDistrictCouncil-http://selenium:4444-local]",""
"passed","Sat Feb 10 01:08:13 GMT 2024","Sat Feb 10 01:08:14 GMT 2024","688","","","","","","Validate Council Output [SouthGloucestershireCouncil-None-None]",""
"failed","Sat Feb 10 01:06:23 GMT 2024","Sat Feb 10 01:06:23 GMT 2024","51","","","","","","Validate Council Output [GatesheadCouncil-http://selenium:4444-local]",""
"passed","Sat Feb 10 01:06:10 GMT 2024","Sat Feb 10 01:06:12 GMT 2024","1660","","","","","","Validate Council Output [DoncasterCouncil-None-None]",""
"failed","Sat Feb 10 01:07:32 GMT 2024","Sat Feb 10 01:07:32 GMT 2024","804","","","","","","Validate Council Output [SwaleBoroughCouncil-None-None]",""
"passed","Sat Feb 10 01:07:13 GMT 2024","Sat Feb 10 01:07:14 GMT 2024","1253","","","","","","Validate Council Output [SouthAyrshireCouncil-None-None]",""
"passed","Sat Feb 10 01:07:04 GMT 2024","Sat Feb 10 01:07:13 GMT 2024","9043","","","","","","Validate Council Output [SomersetCouncil-None-None]",""
"failed","Sat Feb 10 01:06:06 GMT 2024","Sat Feb 10 01:06:06 GMT 2024","106","","","","","","Validate Council Output [BlackburnCouncil-http://selenium:4444-local]",""
"passed","Sat Feb 10 01:07:24 GMT 2024","Sat Feb 10 01:07:25 GMT 2024","1632","","","","","","Validate Council Output [RochdaleCouncil-None-None]",""
"passed","Sat Feb 10 01:07:33 GMT 2024","Sat Feb 10 01:07:34 GMT 2024","1467","","","","","","Validate Council Output [StratfordUponAvonCouncil-None-None]",""
"failed","Sat Feb 10 01:06:40 GMT 2024","Sat Feb 10 01:06:42 GMT 2024","1900","","","","","","Validate Council Output [KingstonUponThamesCouncil-None-None]",""
"passed","Sat Feb 10 01:10:29 GMT 2024","Sat Feb 10 01:10:34 GMT 2024","5371","","","","","","Validate Council Output [ValeofWhiteHorseCouncil-None-None]",""
"passed","Sat Feb 10 01:07:31 GMT 2024","Sat Feb 10 01:07:32 GMT 2024","694","","","","","","Validate Council Output [RushmoorCouncil-None-None]",""
"passed","Sat Feb 10 01:08:45 GMT 2024","Sat Feb 10 01:08:46 GMT 2024","1409","","","","","","Validate Council Output [WestLindseyDistrictCouncil-None-None]",""
"passed","Sat Feb 10 01:06:21 GMT 2024","Sat Feb 10 01:06:22 GMT 2024","1185","","","","","","Validate Council Output [MalvernHillsDC-None-None]",""
"passed","Sat Feb 10 01:06:52 GMT 2024","Sat Feb 10 01:06:52 GMT 2024","762","","","","","","Validate Council Output [ReadingBoroughCouncil-None-None]",""
"passed","Sat Feb 10 01:06:32 GMT 2024","Sat Feb 10 01:06:35 GMT 2024","2477","","","","","","Validate Council Output [HaringeyCouncil-None-None]",""
"failed","Sat Feb 10 01:06:51 GMT 2024","Sat Feb 10 01:07:24 GMT 2024","33109","","","","","","Validate Council Output [MaldonDistrictCouncil-None-None]",""
"failed","Sat Feb 10 01:06:51 GMT 2024","Sat Feb 10 01:06:52 GMT 2024","73","","","","","","Validate Council Output [PrestonCityCouncil-http://selenium:4444-local]",""
"passed","Sat Feb 10 01:08:41 GMT 2024","Sat Feb 10 01:08:42 GMT 2024","1152","","","","","","Validate Council Output [WarwickDistrictCouncil-None-None]",""
"failed","Sat Feb 10 01:07:19 GMT 2024","Sat Feb 10 01:07:20 GMT 2024","874","","","","","","Validate Council Output [StHelensBC-None-None]",""
"failed","Sat Feb 10 01:06:06 GMT 2024","Sat Feb 10 01:06:07 GMT 2024","162","","","","","","Validate Council Output [BoltonCouncil-http://selenium:4444-local]",""
"failed","Sat Feb 10 01:08:46 GMT 2024","Sat Feb 10 01:08:46 GMT 2024","2","","","","","","Validate Council Output [WestSuffolkCouncil-http://selenium:4444-local]",""
"passed","Sat Feb 10 01:06:23 GMT 2024","Sat Feb 10 01:06:24 GMT 2024","1381","","","","","","Validate Council Output [GedlingBoroughCouncil-None-None]",""
"passed","Sat Feb 10 01:06:13 GMT 2024","Sat Feb 10 01:06:16 GMT 2024","3216","","","","","","Validate Council Output [DurhamCouncil-None-None]",""
"passed","Sat Feb 10 01:06:07 GMT 2024","Sat Feb 10 01:06:09 GMT 2024","1410","","","","","","Validate Council Output [CrawleyBoroughCouncil-None-None]",""
"passed","Sat Feb 10 01:06:10 GMT 2024","Sat Feb 10 01:06:12 GMT 2024","1685","","","","","","Validate Council Output [CharnwoodBoroughCouncil-None-None]",""
"failed","Sat Feb 10 01:06:33 GMT 2024","Sat Feb 10 01:06:34 GMT 2024","155","","","","","","Validate Council Output [NeathPortTalbotCouncil-http://selenium:4444-local]",""
"passed","Sat Feb 10 01:08:47 GMT 2024","Sat Feb 10 01:08:48 GMT 2024","1655","","","","","","Validate Council Output [WealdenDistrictCouncil-None-None]",""
"passed","Sat Feb 10 01:08:10 GMT 2024","Sat Feb 10 01:08:13 GMT 2024","3625","","","","","","Validate Council Output [SouthCambridgeshireCouncil-None-None]",""
"passed","Sat Feb 10 01:06:14 GMT 2024","Sat Feb 10 01:06:32 GMT 2024","18750","","","","","","Validate Council Output [ChorleyCouncil-http://selenium:4444-local]",""
"failed","Sat Feb 10 01:06:33 GMT 2024","Sat Feb 10 01:06:33 GMT 2024","3","","","","","","Validate Council Output [MidAndEastAntrimBoroughCouncil-http://selenium:4444-local]",""
"failed","Sat Feb 10 01:06:19 GMT 2024","Sat Feb 10 01:06:19 GMT 2024","5","","","","","","Validate Council Output [EastRidingCouncil-http://selenium:4444-local]",""
"failed","Sat Feb 10 01:07:33 GMT 2024","Sat Feb 10 01:09:44 GMT 2024","131043","","","","","","Validate Council Output [TamesideMBCouncil-None-None]",""
"failed","Sat Feb 10 01:08:46 GMT 2024","Sat Feb 10 01:08:46 GMT 2024","155","","","","","","Validate Council Output [WestLothianCouncil-http://selenium:4444-local]",""
"passed","Sat Feb 10 01:06:07 GMT 2024","Sat Feb 10 01:06:11 GMT 2024","4684","","","","","","Validate Council Output [BristolCityCouncil-None-None]",""
"passed","Sat Feb 10 01:08:14 GMT 2024","Sat Feb 10 01:08:18 GMT 2024","4157","","","","","","Validate Council Output [SouthLanarkshireCouncil-None-None]",""
"passed","Sat Feb 10 01:06:18 GMT 2024","Sat Feb 10 01:06:21 GMT 2024","2861","","","","","","Validate Council Output [BedfordshireCouncil-None-None]",""
"passed","Sat Feb 10 01:08:50 GMT 2024","Sat Feb 10 01:08:53 GMT 2024","2578","","","","","","Validate Council Output [WiltshireCouncil-None-None]",""
"passed","Sat Feb 10 01:08:51 GMT 2024","Sat Feb 10 01:08:55 GMT 2024","4223","","","","","","Validate Council Output [WokingBoroughCouncil-None-None]",""
"failed","Sat Feb 10 01:06:22 GMT 2024","Sat Feb 10 01:06:22 GMT 2024","3","","","","","","Validate Council Output [ForestOfDeanDistrictCouncil-http://selenium:4444-local]",""
"failed","Sat Feb 10 01:06:26 GMT 2024","Sat Feb 10 01:06:26 GMT 2024","2","","","","","","Validate Council Output [HaltonBoroughCouncil-http://selenium:4444-local]",""
"failed","Sat Feb 10 01:06:39 GMT 2024","Sat Feb 10 01:06:40 GMT 2024","1311","","","","","","Validate Council Output [HuntingdonDistrictCouncil-None-None]",""
"passed","Sat Feb 10 01:06:07 GMT 2024","Sat Feb 10 01:06:08 GMT 2024","664","","","","","","Validate Council Output [CannockChaseDistrictCouncil-None-None]",""
"failed","Sat Feb 10 01:06:56 GMT 2024","Sat Feb 10 01:06:56 GMT 2024","3","","","","","","Validate Council Output [SevenoaksDistrictCouncil-http://selenium:4444-local]",""
"passed","Sat Feb 10 01:06:35 GMT 2024","Sat Feb 10 01:06:42 GMT 2024","7323","","","","","","Validate Council Output [NorthLincolnshireCouncil-None-None]",""
"failed","Sat Feb 10 01:06:07 GMT 2024","Sat Feb 10 01:06:07 GMT 2024","3","","","","","","Validate Council Output [BrightonandHoveCityCouncil-http://selenium:4444-local]",""
"passed","Sat Feb 10 01:06:16 GMT 2024","Sat Feb 10 01:06:17 GMT 2024","912","","","","","","Validate Council Output [BathAndNorthEastSomersetCouncil-None-None]",""
"passed","Sat Feb 10 01:07:20 GMT 2024","Sat Feb 10 01:07:30 GMT 2024","9219","","","","","","Validate Council Output [StockportBoroughCouncil-None-None]",""
"passed","Sat Feb 10 01:07:25 GMT 2024","Sat Feb 10 01:07:31 GMT 2024","5400","","","","","","Validate Council Output [RugbyBoroughCouncil-None-None]",""
