"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Jan 30 01:09:47 GMT 2024","Tue Jan 30 01:09:47 GMT 2024","3","","","","","","Validate Council Output [WakefieldCityCouncil-http://selenium:4444-local]",""
"passed","Tue Jan 30 01:08:17 GMT 2024","Tue Jan 30 01:08:19 GMT 2024","1426","","","","","","Validate Council Output [ConwyCountyBorough-None-None]",""
"failed","Tue Jan 30 01:09:29 GMT 2024","Tue Jan 30 01:11:40 GMT 2024","130415","","","","","","Validate Council Output [TamesideMBCouncil-None-None]",""
"passed","Tue Jan 30 01:08:37 GMT 2024","Tue Jan 30 01:08:39 GMT 2024","1085","","","","","","Validate Council Output [LisburnCastlereaghCityCouncil-None-None]",""
"failed","Tue Jan 30 01:08:17 GMT 2024","Tue Jan 30 01:09:48 GMT 2024","90793","","","","","","Validate Council Output [AylesburyValeCouncil-None-None]",""
"passed","Tue Jan 30 01:08:18 GMT 2024","Tue Jan 30 01:08:19 GMT 2024","1109","","","","","","Validate Council Output [CannockChaseDistrictCouncil-None-None]",""
"passed","Tue Jan 30 01:09:14 GMT 2024","Tue Jan 30 01:09:16 GMT 2024","2123","","","","","","Validate Council Output [SalfordCityCouncil-None-None]",""
"failed","Tue Jan 30 01:09:22 GMT 2024","Tue Jan 30 01:09:22 GMT 2024","58","","","","","","Validate Council Output [RushcliffeBoroughCouncil-http://selenium:4444-local]",""
"failed","Tue Jan 30 01:08:24 GMT 2024","Tue Jan 30 01:08:26 GMT 2024","1713","","","","","","Validate Council Output [CroydonCouncil-None-None]",""
"failed","Tue Jan 30 01:09:58 GMT 2024","Tue Jan 30 01:09:59 GMT 2024","680","","","","","","Validate Council Output [YorkCouncil-None-None]",""
"failed","Tue Jan 30 01:08:26 GMT 2024","Tue Jan 30 01:08:26 GMT 2024","63","","","","","","Validate Council Output [BroxtoweBoroughCouncil-http://selenium:4444-local]",""
"passed","Tue Jan 30 01:09:07 GMT 2024","Tue Jan 30 01:09:09 GMT 2024","2749","","","","","","Validate Council Output [RhonddaCynonTaffCouncil-None-None]",""
"failed","Tue Jan 30 01:08:58 GMT 2024","Tue Jan 30 01:08:59 GMT 2024","957","","","","","","Validate Council Output [MidSussexDistrictCouncil-None-None]",""
"passed","Tue Jan 30 01:09:02 GMT 2024","Tue Jan 30 01:09:08 GMT 2024","6057","","","","","","Validate Council Output [NorthTynesideCouncil-None-None]",""
"passed","Tue Jan 30 01:09:54 GMT 2024","Tue Jan 30 01:10:17 GMT 2024","23222","","","","","","Validate Council Output [WiltshireCouncil-None-None]",""
"failed","Tue Jan 30 01:08:58 GMT 2024","Tue Jan 30 01:08:58 GMT 2024","2","","","","","","Validate Council Output [MidAndEastAntrimBoroughCouncil-http://selenium:4444-local]",""
"passed","Tue Jan 30 01:09:21 GMT 2024","Tue Jan 30 01:09:22 GMT 2024","1005","","","","","","Validate Council Output [SouthLanarkshireCouncil-None-None]",""
"failed","Tue Jan 30 01:08:33 GMT 2024","Tue Jan 30 01:08:33 GMT 2024","3","","","","","","Validate Council Output [EastRidingCouncil-http://selenium:4444-local]",""
"failed","Tue Jan 30 01:09:22 GMT 2024","Tue Jan 30 01:09:22 GMT 2024","57","","","","","","Validate Council Output [StaffordshireMoorlandsDistrictCouncil-http://selenium:4444-local]",""
"passed","Tue Jan 30 01:08:46 GMT 2024","Tue Jan 30 01:08:47 GMT 2024","1580","","","","","","Validate Council Output [MaldonDistrictCouncil-None-None]",""
"passed","Tue Jan 30 01:08:18 GMT 2024","Tue Jan 30 01:08:24 GMT 2024","5597","","","","","","Validate Council Output [BristolCityCouncil-None-None]",""
"passed","Tue Jan 30 01:08:19 GMT 2024","Tue Jan 30 01:08:26 GMT 2024","7207","","","","","","Validate Council Output [CardiffCouncil-None-None]",""
"passed","Tue Jan 30 01:09:03 GMT 2024","Tue Jan 30 01:09:06 GMT 2024","2593","","","","","","Validate Council Output [GlasgowCityCouncil-None-None]",""
"passed","Tue Jan 30 01:08:59 GMT 2024","Tue Jan 30 01:09:05 GMT 2024","6183","","","","","","Validate Council Output [NorthKestevenDistrictCouncil-None-None]",""
"failed","Tue Jan 30 01:08:17 GMT 2024","Tue Jan 30 01:08:18 GMT 2024","653","","","","","","Validate Council Output [BoltonCouncil-http://selenium:4444-local]",""
"passed","Tue Jan 30 01:09:06 GMT 2024","Tue Jan 30 01:09:07 GMT 2024","800","","","","","","Validate Council Output [ReadingBoroughCouncil-None-None]",""
"passed","Tue Jan 30 01:09:53 GMT 2024","Tue Jan 30 01:09:55 GMT 2024","2040","","","","","","Validate Council Output [WealdenDistrictCouncil-None-None]",""
"passed","Tue Jan 30 01:09:11 GMT 2024","Tue Jan 30 01:09:22 GMT 2024","10882","","","","","","Validate Council Output [RugbyBoroughCouncil-None-None]",""
