"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 13 01:09:21 GMT 2024","Tue Feb 13 01:09:24 GMT 2024","2749","","","","","","Validate Council Output [NewportCityCouncil-None-None]",""
"failed","Tue Feb 13 01:09:09 GMT 2024","Tue Feb 13 01:09:09 GMT 2024","2","","","","","","Validate Council Output [MiltonKeynesCityCouncil-None-None]",""
"passed","Tue Feb 13 01:09:29 GMT 2024","Tue Feb 13 01:09:29 GMT 2024","678","","","","","","Validate Council Output [RushmoorCouncil-None-None]",""
"failed","Tue Feb 13 01:09:07 GMT 2024","Tue Feb 13 01:09:10 GMT 2024","2682","","","","","","Validate Council Output [LondonBoroughHounslow-None-None]",""
"passed","Tue Feb 13 01:09:34 GMT 2024","Tue Feb 13 01:09:35 GMT 2024","1867","","","","","","Validate Council Output [SouthNorfolkCouncil-None-None]",""
"passed","Tue Feb 13 01:09:02 GMT 2024","Tue Feb 13 01:09:03 GMT 2024","798","","","","","","Validate Council Output [BCPCouncil-None-None]",""
"passed","Tue Feb 13 01:09:02 GMT 2024","Tue Feb 13 01:09:03 GMT 2024","1212","","","","","","Validate Council Output [DorsetCouncil-None-None]",""
"passed","Tue Feb 13 01:10:01 GMT 2024","Tue Feb 13 01:10:03 GMT 2024","1780","","","","","","Validate Council Output [WealdenDistrictCouncil-None-None]",""
"failed","Tue Feb 13 01:09:09 GMT 2024","Tue Feb 13 01:09:09 GMT 2024","2","","","","","","Validate Council Output [MidAndEastAntrimBoroughCouncil-http://selenium:4444-local]",""
"failed","Tue Feb 13 01:09:37 GMT 2024","Tue Feb 13 01:09:37 GMT 2024","148","","","","","","Validate Council Output [GatesheadCouncil-http://selenium:4444-local]",""
"failed","Tue Feb 13 01:09:27 GMT 2024","Tue Feb 13 01:09:28 GMT 2024","426","","","","","","Validate Council Output [PrestonCityCouncil-http://selenium:4444-local]",""
"failed","Tue Feb 13 01:09:04 GMT 2024","Tue Feb 13 01:09:04 GMT 2024","150","","","","","","Validate Council Output [EastSuffolkCouncil-http://selenium:4444-local]",""
"passed","Tue Feb 13 01:09:33 GMT 2024","Tue Feb 13 01:09:38 GMT 2024","5167","","","","","","Validate Council Output [RugbyBoroughCouncil-None-None]",""
"failed","Tue Feb 13 01:09:00 GMT 2024","Tue Feb 13 01:09:00 GMT 2024","172","","","","","","Validate Council Output [DerbyshireDalesDistrictCouncil-http://selenium:4444-local]",""
"failed","Tue Feb 13 01:09:47 GMT 2024","Tue Feb 13 01:09:47 GMT 2024","152","","","","","","Validate Council Output [StaffordshireMoorlandsDistrictCouncil-http://selenium:4444-local]",""
"passed","Tue Feb 13 01:09:38 GMT 2024","Tue Feb 13 01:09:39 GMT 2024","1234","","","","","","Validate Council Output [SouthAyrshireCouncil-None-None]",""
"passed","Tue Feb 13 01:09:05 GMT 2024","Tue Feb 13 01:09:07 GMT 2024","2252","","","","","","Validate Council Output [ErewashBoroughCouncil-None-None]",""
"failed","Tue Feb 13 01:11:58 GMT 2024","Tue Feb 13 01:11:58 GMT 2024","2","","","","","","Validate Council Output [WakefieldCityCouncil-http://selenium:4444-local]",""
"passed","Tue Feb 13 01:09:41 GMT 2024","Tue Feb 13 01:09:41 GMT 2024","686","","","","","","Validate Council Output [SouthGloucestershireCouncil-None-None]",""
"failed","Tue Feb 13 01:09:10 GMT 2024","Tue Feb 13 01:09:12 GMT 2024","1796","","","","","","Validate Council Output [LondonBoroughRedbridge-http://selenium:4444-local]",""
"failed","Tue Feb 13 01:08:59 GMT 2024","Tue Feb 13 01:08:59 GMT 2024","144","","","","","","Validate Council Output [BroxtoweBoroughCouncil-http://selenium:4444-local]",""
"passed","Tue Feb 13 01:09:39 GMT 2024","Tue Feb 13 01:09:41 GMT 2024","2600","","","","","","Validate Council Output [GlasgowCityCouncil-None-None]",""
"failed","Tue Feb 13 01:09:41 GMT 2024","Tue Feb 13 01:09:41 GMT 2024","2","","","","","","Validate Council Output [HaltonBoroughCouncil-http://selenium:4444-local]",""
"passed","Tue Feb 13 01:08:54 GMT 2024","Tue Feb 13 01:08:58 GMT 2024","3977","","","","","","Validate Council Output [CardiffCouncil-None-None]",""
"failed","Tue Feb 13 01:09:14 GMT 2024","Tue Feb 13 01:09:16 GMT 2024","1250","","","","","","Validate Council Output [HuntingdonDistrictCouncil-None-None]",""
"passed","Tue Feb 13 01:09:24 GMT 2024","Tue Feb 13 01:09:29 GMT 2024","5224","","","","","","Validate Council Output [NorthLincolnshireCouncil-None-None]",""
"failed","Tue Feb 13 01:09:29 GMT 2024","Tue Feb 13 01:09:29 GMT 2024","156","","","","","","Validate Council Output [NorthNorfolkDistrictCouncil-http://selenium:4444-local]",""
"passed","Tue Feb 13 01:10:03 GMT 2024","Tue Feb 13 01:10:07 GMT 2024","4611","","","","","","Validate Council Output [WokingBoroughCouncil-None-None]",""
"passed","Tue Feb 13 01:10:03 GMT 2024","Tue Feb 13 01:10:06 GMT 2024","2743","","","","","","Validate Council Output [WindsorAndMaidenheadCouncil-None-None]",""
"failed","Tue Feb 13 01:09:14 GMT 2024","Tue Feb 13 01:09:14 GMT 2024","2","","","","","","Validate Council Output [HighPeakCouncil-http://selenium:4444-local]",""
"failed","Tue Feb 13 01:09:05 GMT 2024","Tue Feb 13 01:09:05 GMT 2024","2","","","","","","Validate Council Output [BexleyCouncil-http://selenium:4444-local]",""
"passed","Tue Feb 13 01:09:05 GMT 2024","Tue Feb 13 01:09:06 GMT 2024","814","","","","","","Validate Council Output [LisburnCastlereaghCityCouncil-None-None]",""
"passed","Tue Feb 13 01:09:18 GMT 2024","Tue Feb 13 01:09:23 GMT 2024","5074","","","","","","Validate Council Output [LancasterCityCouncil-None-None]",""
"passed","Tue Feb 13 01:09:37 GMT 2024","Tue Feb 13 01:09:39 GMT 2024","1365","","","","","","Validate Council Output [GedlingBoroughCouncil-None-None]",""
"passed","Tue Feb 13 01:08:53 GMT 2024","Tue Feb 13 01:08:54 GMT 2024","628","","","","","","Validate Council Output [CannockChaseDistrictCouncil-None-None]",""
"failed","Tue Feb 13 01:09:16 GMT 2024","Tue Feb 13 01:09:18 GMT 2024","2032","","","","","","Validate Council Output [KingstonUponThamesCouncil-None-None]",""
"passed","Tue Feb 13 01:09:04 GMT 2024","Tue Feb 13 01:09:05 GMT 2024","1108","","","","","","Validate Council Output [EnvironmentFirst-None-None]",""
"passed","Tue Feb 13 01:09:29 GMT 2024","Tue Feb 13 01:09:32 GMT 2024","2910","","","","","","Validate Council Output [SheffieldCityCouncil-None-None]",""
"passed","Tue Feb 13 01:09:11 GMT 2024","Tue Feb 13 01:09:21 GMT 2024","10672","","","","","","Validate Council Output [NewcastleCityCouncil-None-None]",""
"passed","Tue Feb 13 01:08:56 GMT 2024","Tue Feb 13 01:09:01 GMT 2024","5462","","","","","","Validate Council Output [BasingstokeCouncil-None-None]",""
"passed","Tue Feb 13 01:09:06 GMT 2024","Tue Feb 13 01:09:09 GMT 2024","2214","","","","","","Validate Council Output [EastCambridgeshireCouncil-None-None]",""
"passed","Tue Feb 13 01:08:54 GMT 2024","Tue Feb 13 01:08:59 GMT 2024","4627","","","","","","Validate Council Output [CrawleyBoroughCouncil-None-None]",""
"passed","Tue Feb 13 01:09:32 GMT 2024","Tue Feb 13 01:09:37 GMT 2024","4728","","","","","","Validate Council Output [ShropshireCouncil-None-None]",""
"passed","Tue Feb 13 01:09:01 GMT 2024","Tue Feb 13 01:09:02 GMT 2024","669","","","","","","Validate Council Output [EastDevonDC-None-None]",""
"failed","Tue Feb 13 01:08:54 GMT 2024","Tue Feb 13 01:08:54 GMT 2024","206","","","","","","Validate Council Output [BarnetCouncil-http://selenium:4444-local]",""
"passed","Tue Feb 13 01:09:00 GMT 2024","Tue Feb 13 01:09:02 GMT 2024","1967","","","","","","Validate Council Output [DoncasterCouncil-None-None]",""
"failed","Tue Feb 13 01:08:53 GMT 2024","Tue Feb 13 01:08:53 GMT 2024","198","","","","","","Validate Council Output [BoltonCouncil-http://selenium:4444-local]",""
"passed","Tue Feb 13 01:09:29 GMT 2024","Tue Feb 13 01:09:33 GMT 2024","3537","","","","","","Validate Council Output [SalfordCityCouncil-None-None]",""
"passed","Tue Feb 13 01:09:25 GMT 2024","Tue Feb 13 01:09:26 GMT 2024","1263","","","","","","Validate Council Output [NorthSomersetCouncil-None-None]",""
"passed","Tue Feb 13 01:09:41 GMT 2024","Tue Feb 13 01:09:43 GMT 2024","1594","","","","","","Validate Council Output [StratfordUponAvonCouncil-None-None]",""
"failed","Tue Feb 13 01:09:57 GMT 2024","Tue Feb 13 01:09:57 GMT 2024","3","","","","","","Validate Council Output [WestSuffolkCouncil-http://selenium:4444-local]",""
