"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 30 01:08:27 GMT 2024","Tue Jan 30 01:08:31 GMT 2024","3680","","","","","","Validate Council Output [DurhamCouncil-None-None]",""
"passed","Tue Jan 30 01:09:01 GMT 2024","Tue Jan 30 01:09:02 GMT 2024","1046","","","","","","Validate Council Output [NorthNorthamptonshireCouncil-None-None]",""
"passed","Tue Jan 30 01:09:21 GMT 2024","Tue Jan 30 01:09:32 GMT 2024","11214","","","","","","Validate Council Output [TorbayCouncil-None-None]",""
"passed","Tue Jan 30 01:08:59 GMT 2024","Tue Jan 30 01:09:02 GMT 2024","3701","","","","","","Validate Council Output [NottinghamCityCouncil-None-None]",""
"passed","Tue Jan 30 01:08:30 GMT 2024","Tue Jan 30 01:08:32 GMT 2024","2325","","","","","","Validate Council Output [ErewashBoroughCouncil-None-None]",""
"failed","Tue Jan 30 01:08:28 GMT 2024","Tue Jan 30 01:08:28 GMT 2024","71","","","","","","Validate Council Output [EastLindseyDistrictCouncil-http://selenium:4444-local]",""
"passed","Tue Jan 30 01:08:32 GMT 2024","Tue Jan 30 01:08:34 GMT 2024","2526","","","","","","Validate Council Output [HaringeyCouncil-None-None]",""
"failed","Tue Jan 30 01:08:16 GMT 2024","Tue Jan 30 01:08:16 GMT 2024","290","","","","","","Validate Council Output [CalderdaleCouncil-http://selenium:4444-local]",""
"passed","Tue Jan 30 01:09:12 GMT 2024","Tue Jan 30 01:09:13 GMT 2024","576","","","","","","Validate Council Output [SouthGloucestershireCouncil-None-None]",""
"passed","Tue Jan 30 01:09:17 GMT 2024","Tue Jan 30 01:09:18 GMT 2024","1677","","","","","","Validate Council Output [StratfordUponAvonCouncil-None-None]",""
"passed","Tue Jan 30 01:09:51 GMT 2024","Tue Jan 30 01:09:54 GMT 2024","2546","","","","","","Validate Council Output [BedfordshireCouncil-None-None]",""
