"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 31 01:10:08 GMT 2024","Wed Jan 31 01:10:15 GMT 2024","7063","","","","","","Validate Council Output [WaverleyBoroughCouncil-None-None]",""
"passed","Wed Jan 31 01:09:18 GMT 2024","Wed Jan 31 01:09:26 GMT 2024","8038","","","","","","Validate Council Output [NorthKestevenDistrictCouncil-None-None]",""
"failed","Wed Jan 31 01:08:36 GMT 2024","Wed Jan 31 01:08:36 GMT 2024","232","","","","","","Validate Council Output [BoltonCouncil-http://selenium:4444-local]",""
"passed","Wed Jan 31 01:09:53 GMT 2024","Wed Jan 31 01:10:03 GMT 2024","10612","","","","","","Validate Council Output [TestValleyBoroughCouncil-None-None]",""
"passed","Wed Jan 31 01:09:35 GMT 2024","Wed Jan 31 01:09:36 GMT 2024","962","","","","","","Validate Council Output [RushmoorCouncil-None-None]",""
"failed","Wed Jan 31 01:08:44 GMT 2024","Wed Jan 31 01:09:47 GMT 2024","62838","","","","","","Validate Council Output [DurhamCouncil-None-None]",""
"failed","Wed Jan 31 01:09:51 GMT 2024","Wed Jan 31 01:09:51 GMT 2024","2","","","","","","Validate Council Output [ForestOfDeanDistrictCouncil-http://selenium:4444-local]",""
"failed","Wed Jan 31 01:08:37 GMT 2024","Wed Jan 31 01:08:38 GMT 2024","603","","","","","","Validate Council Output [BarnetCouncil-http://selenium:4444-local]",""
"passed","Wed Jan 31 01:09:44 GMT 2024","Wed Jan 31 01:09:47 GMT 2024","2718","","","","","","Validate Council Output [StokeOnTrentCityCouncil-None-None]",""
"passed","Wed Jan 31 01:09:53 GMT 2024","Wed Jan 31 01:09:55 GMT 2024","2468","","","","","","Validate Council Output [GlasgowCityCouncil-None-None]",""
"failed","Wed Jan 31 01:08:42 GMT 2024","Wed Jan 31 01:08:42 GMT 2024","3","","","","","","Validate Council Output [CastlepointDistrictCouncil-http://selenium:4444-local]",""
"passed","Wed Jan 31 01:09:51 GMT 2024","Wed Jan 31 01:09:53 GMT 2024","1965","","","","","","Validate Council Output [GedlingBoroughCouncil-None-None]",""
"failed","Wed Jan 31 01:10:07 GMT 2024","Wed Jan 31 01:10:07 GMT 2024","2","","","","","","Validate Council Output [WakefieldCityCouncil-http://selenium:4444-local]",""
"failed","Wed Jan 31 01:09:51 GMT 2024","Wed Jan 31 01:09:51 GMT 2024","47","","","","","","Validate Council Output [GatesheadCouncil-http://selenium:4444-local]",""
"passed","Wed Jan 31 01:09:38 GMT 2024","Wed Jan 31 01:09:39 GMT 2024","981","","","","","","Validate Council Output [SouthGloucestershireCouncil-None-None]",""
"passed","Wed Jan 31 01:08:37 GMT 2024","Wed Jan 31 01:08:39 GMT 2024","1952","","","","","","Validate Council Output [CrawleyBoroughCouncil-None-None]",""
"failed","Wed Jan 31 01:08:56 GMT 2024","Wed Jan 31 01:08:56 GMT 2024","195","","","","","","Validate Council Output [NeathPortTalbotCouncil-http://selenium:4444-local]",""
"passed","Wed Jan 31 01:08:47 GMT 2024","Wed Jan 31 01:08:48 GMT 2024","1081","","","","","","Validate Council Output [LisburnCastlereaghCityCouncil-None-None]",""
