"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Jan 23 01:16:07 GMT 2024","Tue Jan 23 01:16:08 GMT 2024","1117","","","","","","Validate Council Output [KingstonUponThamesCouncil-None-None]",""
"passed","Tue Jan 23 01:16:52 GMT 2024","Tue Jan 23 01:16:54 GMT 2024","2004","","","","","","Validate Council Output [StratfordUponAvonCouncil-None-None]",""
"passed","Tue Jan 23 01:17:12 GMT 2024","Tue Jan 23 01:17:16 GMT 2024","3557","","","","","","Validate Council Output [WindsorAndMaidenheadCouncil-None-None]",""
"passed","Tue Jan 23 01:16:03 GMT 2024","Tue Jan 23 01:16:05 GMT 2024","1217","","","","","","Validate Council Output [DorsetCouncil-None-None]",""
"passed","Tue Jan 23 01:17:21 GMT 2024","Tue Jan 23 01:17:22 GMT 2024","837","","","","","","Validate Council Output [YorkCouncil-None-None]",""
"failed","Tue Jan 23 01:16:02 GMT 2024","Tue Jan 23 01:16:02 GMT 2024","100","","","","","","Validate Council Output [EastSuffolkCouncil-http://selenium:4444-local]",""
"failed","Tue Jan 23 01:16:33 GMT 2024","Tue Jan 23 01:16:34 GMT 2024","654","","","","","","Validate Council Output [PortsmouthCityCouncil-http://selenium:4444-local]",""
"passed","Tue Jan 23 01:16:55 GMT 2024","Tue Jan 23 01:16:58 GMT 2024","3201","","","","","","Validate Council Output [TorridgeDistrictCouncil-None-None]",""
"passed","Tue Jan 23 01:17:09 GMT 2024","Tue Jan 23 01:17:11 GMT 2024","1911","","","","","","Validate Council Output [WealdenDistrictCouncil-None-None]",""
"passed","Tue Jan 23 01:16:34 GMT 2024","Tue Jan 23 01:16:35 GMT 2024","752","","","","","","Validate Council Output [ReadingBoroughCouncil-None-None]",""
"passed","Tue Jan 23 01:15:59 GMT 2024","Tue Jan 23 01:16:02 GMT 2024","2844","","","","","","Validate Council Output [HaringeyCouncil-None-None]",""
"passed","Tue Jan 23 01:16:12 GMT 2024","Tue Jan 23 01:16:37 GMT 2024","24177","","","","","","Validate Council Output [NewcastleCityCouncil-None-None]",""
"passed","Tue Jan 23 01:16:02 GMT 2024","Tue Jan 23 01:16:04 GMT 2024","1642","","","","","","Validate Council Output [EnvironmentFirst-None-None]",""
"passed","Tue Jan 23 01:16:13 GMT 2024","Tue Jan 23 01:16:15 GMT 2024","1200","","","","","","Validate Council Output [MalvernHillsDC-None-None]",""
"failed","Tue Jan 23 01:17:12 GMT 2024","Tue Jan 23 01:17:12 GMT 2024","80","","","","","","Validate Council Output [WestLothianCouncil-http://selenium:4444-local]",""
"passed","Tue Jan 23 01:17:16 GMT 2024","Tue Jan 23 01:17:26 GMT 2024","10665","","","","","","Validate Council Output [WiltshireCouncil-None-None]",""
